Latency on Audio Test,time (μs)
summit_sealfs_write,149.267
summit_sealfs_write,125.373
summit_sealfs_write,125.115
summit_sealfs_write,118.749
summit_sealfs_write,118.029
summit_sealfs_write,116.004
summit_sealfs_write,115.551
summit_sealfs_write,115.268
summit_sealfs_write,114.878
summit_sealfs_write,114.373
summit_sealfs_write,114.354
summit_sealfs_write,114.315
summit_sealfs_write,114.309
summit_sealfs_write,114.184
summit_sealfs_write,114.153
summit_sealfs_write,114.147
summit_sealfs_write,114.01
summit_sealfs_write,113.652
summit_sealfs_write,113.627
summit_sealfs_write,112.474
summit_sealfs_write,112.436
summit_sealfs_write,112.354
summit_sealfs_write,112.272
summit_sealfs_write,111.839
summit_sealfs_write,111.762
summit_sealfs_write,111.739
summit_sealfs_write,111.614
summit_sealfs_write,111.432
summit_sealfs_write,111.269
summit_sealfs_write,111.075
summit_sealfs_write,110.646
summit_sealfs_write,110.602
summit_sealfs_write,110.564
summit_sealfs_write,110.473
summit_sealfs_write,110.245
summit_sealfs_write,110.228
summit_sealfs_write,110.174
summit_sealfs_write,110.172
summit_sealfs_write,109.915
summit_sealfs_write,109.791
summit_sealfs_write,109.693
summit_sealfs_write,109.668
summit_sealfs_write,109.574
summit_sealfs_write,109.504
summit_sealfs_write,109.223
summit_sealfs_write,109.218
summit_sealfs_write,109.035
summit_sealfs_write,108.818
summit_sealfs_write,108.574
summit_sealfs_write,108.464
summit_sealfs_write,108.35
summit_sealfs_write,108.296
summit_sealfs_write,108.139
summit_sealfs_write,108.083
summit_sealfs_write,108.031
summit_sealfs_write,108.008
summit_sealfs_write,107.942
summit_sealfs_write,107.922
summit_sealfs_write,107.632
summit_sealfs_write,107.619
summit_sealfs_write,107.556
summit_sealfs_write,107.435
summit_sealfs_write,107.364
summit_sealfs_write,107.291
summit_sealfs_write,107.076
summit_sealfs_write,107.031
summit_sealfs_write,107.025
summit_sealfs_write,106.996
summit_sealfs_write,106.97
summit_sealfs_write,106.884
summit_sealfs_write,106.774
summit_sealfs_write,106.772
summit_sealfs_write,106.635
summit_sealfs_write,106.616
summit_sealfs_write,106.591
summit_sealfs_write,106.462
summit_sealfs_write,105.999
summit_sealfs_write,105.8
summit_sealfs_write,105.743
summit_sealfs_write,105.64
summit_sealfs_write,105.598
summit_sealfs_write,105.597
summit_sealfs_write,105.58
summit_sealfs_write,105.574
summit_sealfs_write,105.39
summit_sealfs_write,105.326
summit_sealfs_write,105.252
summit_sealfs_write,105.234
summit_sealfs_write,105.096
summit_sealfs_write,104.979
summit_sealfs_write,104.821
summit_sealfs_write,104.816
summit_sealfs_write,104.669
summit_sealfs_write,104.38
summit_sealfs_write,104.256
summit_sealfs_write,104.171
