Latency on Navigation Test,time (μs)
tiago_sealfs_write,159.787
tiago_sealfs_write,152.139
tiago_sealfs_write,150.373
summit_sealfs_write,148.174
summit_sealfs_write,146.373
tiago_sealfs_write,145.217
summit_sealfs_write,145.079
summit_sealfs_write,139.455
tiago_sealfs_write,138.002
tiago_sealfs_write,137.974
summit_sealfs_write,136.609
tiago_sealfs_write,136.249
tiago_sealfs_write,135.673
tiago_sealfs_write,135.577
tiago_sealfs_write,135.43
tiago_sealfs_write,134.957
tiago_sealfs_write,134.109
tiago_sealfs_write,133.09
summit_sealfs_write,132.756
summit_sealfs_write,132.051
summit_sealfs_write,132.001
summit_sealfs_write,130.603
summit_sealfs_write,130.181
tiago_sealfs_write,130.032
summit_sealfs_write,129.858
tiago_sealfs_write,129.572
tiago_sealfs_write,129.168
summit_sealfs_write,128.703
tiago_sealfs_write,128.554
tiago_sealfs_write,127.429
summit_sealfs_write,127.094
tiago_sealfs_write,126.262
summit_sealfs_write,125.954
tiago_sealfs_write,125.587
summit_sealfs_write,125.014
summit_sealfs_write,124.826
tiago_sealfs_write,124.705
tiago_sealfs_write,124.454
summit_sealfs_write,123.658
tiago_sealfs_write,123.499
tiago_sealfs_write,121.673
tiago_sealfs_write,121.341
tiago_sealfs_write,120.947
tiago_sealfs_write,120.918
summit_sealfs_write,119.746
tiago_sealfs_write,119.303
tiago_sealfs_write,118.799
tiago_sealfs_write,118.412
summit_sealfs_write,117.585
tiago_sealfs_write,117.438
tiago_sealfs_write,117.26
tiago_sealfs_write,117.244
tiago_sealfs_write,116.477
tiago_sealfs_write,116.474
tiago_sealfs_write,116.458
tiago_sealfs_write,116.397
tiago_sealfs_write,116.363
tiago_sealfs_write,115.493
tiago_sealfs_write,115.029
tiago_sealfs_write,114.879
tiago_sealfs_write,114.767
tiago_sealfs_write,114.562
summit_sealfs_write,114.496
tiago_sealfs_write,113.755
tiago_sealfs_write,113.725
tiago_sealfs_write,113.722
tiago_sealfs_write,113.665
tiago_sealfs_write,113.323
tiago_sealfs_write,113.168
tiago_sealfs_write,112.993
tiago_sealfs_write,112.881
summit_sealfs_write,112.662
tiago_sealfs_write,112.4
tiago_sealfs_write,112.391
tiago_sealfs_write,112.358
tiago_sealfs_write,112.203
tiago_sealfs_write,112.14
tiago_sealfs_write,111.965
tiago_sealfs_write,111.871
tiago_sealfs_write,111.609
tiago_sealfs_write,111.19
tiago_sealfs_write,111.151
tiago_sealfs_write,111.018
tiago_sealfs_write,110.814
summit_sealfs_write,110.64
summit_sealfs_write,110.441
tiago_sealfs_write,110.42
tiago_sealfs_write,110.049
tiago_sealfs_write,109.855
tiago_sealfs_write,109.682
tiago_sealfs_write,109.646
summit_sealfs_write,109.41
tiago_sealfs_write,109.356
tiago_sealfs_write,109.244
tiago_sealfs_write,109.195
tiago_sealfs_write,109.083
tiago_sealfs_write,109.069
tiago_sealfs_write,108.998
summit_sealfs_write,108.933
summit_sealfs_write,108.318
tiago_sealfs_write,108.199
tiago_sealfs_write,108.07
summit_sealfs_write,108.051
summit_sealfs_write,107.663
tiago_sealfs_write,107.65
tiago_sealfs_write,107.455
summit_sealfs_write,107.313
tiago_sealfs_write,107.282
tiago_sealfs_write,107.257
tiago_sealfs_write,107.078
tiago_sealfs_write,107.019
tiago_sealfs_write,106.859
tiago_sealfs_write,106.446
summit_sealfs_write,106.107
tiago_sealfs_write,106.002
summit_sealfs_write,105.938
tiago_sealfs_write,105.84
summit_sealfs_write,105.832
summit_sealfs_write,105.73
tiago_sealfs_write,105.587
summit_sealfs_write,105.458
tiago_sealfs_write,105.356
summit_sealfs_write,104.896
tiago_sealfs_write,104.779
summit_sealfs_write,104.348
tiago_sealfs_write,104.258
summit_sealfs_write,103.851
tiago_sealfs_write,103.811
tiago_sealfs_write,103.794
summit_sealfs_write,103.558
tiago_sealfs_write,103.554
summit_sealfs_write,103.388
tiago_sealfs_write,103.288
summit_sealfs_write,102.517
tiago_sealfs_write,102.144
tiago_sealfs_write,102.079
summit_sealfs_write,102.052
summit_sealfs_write,102.032
tiago_sealfs_write,101.991
summit_sealfs_write,101.879
summit_sealfs_write,101.788
summit_sealfs_write,101.786
tiago_sealfs_write,101.688
summit_sealfs_write,101.629
summit_sealfs_write,101.371
tiago_sealfs_write,101.008
summit_sealfs_write,100.93
summit_sealfs_write,100.927
tiago_sealfs_write,100.874
summit_sealfs_write,100.794
tiago_sealfs_write,100.72
summit_sealfs_write,100.507
summit_sealfs_write,100.485
summit_sealfs_write,100.479
tiago_sealfs_write,100.161
summit_sealfs_write,99.926
summit_sealfs_write,99.925
tiago_sealfs_write,99.856
tiago_sealfs_write,99.71
summit_sealfs_write,99.691
tiago_sealfs_write,99.545
summit_sealfs_write,99.529
summit_sealfs_write,99.479
summit_sealfs_write,99.392
summit_sealfs_write,99.193
summit_sealfs_write,99.152
summit_sealfs_write,98.799
summit_sealfs_write,98.785
tiago_sealfs_write,98.673
summit_sealfs_write,98.598
tiago_sealfs_write,98.588
