Latency on Video Test,time (μs)
summit_sealfs_write,22898.95
summit_sealfs_write,22478.83
summit_sealfs_write,21591.53
summit_sealfs_write,21392.73
summit_sealfs_write,20628.31
summit_sealfs_write,20511.74
tiago_sealfs_write,20321.59
tiago_sealfs_write,20298.97
tiago_sealfs_write,20242.32
summit_sealfs_write,19601.95
summit_sealfs_write,19508.98
summit_sealfs_write,19361.42
summit_sealfs_write,19295.82
summit_sealfs_write,18723.01
summit_sealfs_write,18708.33
summit_sealfs_write,18658.06
summit_sealfs_write,18648.33
summit_sealfs_write,18611.18
summit_sealfs_write,18462.14
summit_sealfs_write,18403.53
tiago_sealfs_write,18391.84
summit_sealfs_write,18119.38
summit_sealfs_write,18020.32
summit_sealfs_write,17989.82
summit_sealfs_write,17960.89
summit_sealfs_write,17933.22
summit_sealfs_write,17880.64
tiago_sealfs_write,17870.32
summit_sealfs_write,17868.88
summit_sealfs_write,17859.62
summit_sealfs_write,17835.57
summit_sealfs_write,17804.26
summit_sealfs_write,17760.23
tiago_sealfs_write,17755.96
summit_sealfs_write,17742.46
tiago_sealfs_write,17733.11
tiago_sealfs_write,17715.96
tiago_sealfs_write,17702.26
summit_sealfs_write,17702.22
summit_sealfs_write,17673.25
summit_sealfs_write,17664.74
summit_sealfs_write,17661.6
summit_sealfs_write,17637
summit_sealfs_write,17618.59
summit_sealfs_write,17617.59
summit_sealfs_write,17615.36
tiago_sealfs_write,17606.59
summit_sealfs_write,17604.35
summit_sealfs_write,17592.05
summit_sealfs_write,17591.46
summit_sealfs_write,17586.29
summit_sealfs_write,17582.32
summit_sealfs_write,17580.06
summit_sealfs_write,17577.28
summit_sealfs_write,17569.31
summit_sealfs_write,17545.04
summit_sealfs_write,17540.47
summit_sealfs_write,17539.47
summit_sealfs_write,17538.91
summit_sealfs_write,17532.47
summit_sealfs_write,17529.93
summit_sealfs_write,17526.35
summit_sealfs_write,17524.33
summit_sealfs_write,17520.37
summit_sealfs_write,17515.75
summit_sealfs_write,17513.19
summit_sealfs_write,17511.4
summit_sealfs_write,17480.44
summit_sealfs_write,17474.44
summit_sealfs_write,17471.99
summit_sealfs_write,17469.11
summit_sealfs_write,17458.34
summit_sealfs_write,17454.25
summit_sealfs_write,17447.18
summit_sealfs_write,17446.27
summit_sealfs_write,17443.25
summit_sealfs_write,17441.25
summit_sealfs_write,17440.68
summit_sealfs_write,17435.21
tiago_sealfs_write,17433.01
summit_sealfs_write,17429.13
summit_sealfs_write,17416.91
summit_sealfs_write,17408.72
summit_sealfs_write,17404.37
tiago_sealfs_write,17396.87
summit_sealfs_write,17393.97
summit_sealfs_write,17381.97
summit_sealfs_write,17381.8
summit_sealfs_write,17381.31
summit_sealfs_write,17380.06
summit_sealfs_write,17375.99
summit_sealfs_write,17370.57
summit_sealfs_write,17364.84
summit_sealfs_write,17363.94
summit_sealfs_write,17360.47
summit_sealfs_write,17356.89
summit_sealfs_write,17354.57
tiago_sealfs_write,17354.07
summit_sealfs_write,17349.01
summit_sealfs_write,17347.8
summit_sealfs_write,17339.99
summit_sealfs_write,17334.39
summit_sealfs_write,17331.42
summit_sealfs_write,17331.06
summit_sealfs_write,17329.76
summit_sealfs_write,17328.75
summit_sealfs_write,17327.58
summit_sealfs_write,17325.22
summit_sealfs_write,17323.15
summit_sealfs_write,17318.62
summit_sealfs_write,17316.78
summit_sealfs_write,17312.39
tiago_sealfs_write,17309.76
summit_sealfs_write,17304.99
summit_sealfs_write,17303.61
summit_sealfs_write,17292.64
summit_sealfs_write,17282.65
summit_sealfs_write,17281.23
summit_sealfs_write,17280.98
summit_sealfs_write,17275.03
summit_sealfs_write,17273.86
summit_sealfs_write,17267.55
tiago_sealfs_write,17266.81
summit_sealfs_write,17259.99
tiago_sealfs_write,17256.45
summit_sealfs_write,17256.27
tiago_sealfs_write,17252.4
summit_sealfs_write,17251.62
summit_sealfs_write,17249.8
summit_sealfs_write,17242.06
summit_sealfs_write,17241.45
summit_sealfs_write,17241.04
summit_sealfs_write,17241
summit_sealfs_write,17240.88
summit_sealfs_write,17234.89
summit_sealfs_write,17229.84
summit_sealfs_write,17229.16
summit_sealfs_write,17224.77
summit_sealfs_write,17220.78
tiago_sealfs_write,17216.98
summit_sealfs_write,17215.86
summit_sealfs_write,17214.6
summit_sealfs_write,17211.17
summit_sealfs_write,17210.42
summit_sealfs_write,17209.27
summit_sealfs_write,17207.67
tiago_sealfs_write,17207.36
summit_sealfs_write,17205.56
summit_sealfs_write,17203.07
summit_sealfs_write,17200.54
summit_sealfs_write,17199.33
summit_sealfs_write,17199.2
summit_sealfs_write,17195.65
summit_sealfs_write,17193.57
summit_sealfs_write,17189.1
summit_sealfs_write,17185.09
summit_sealfs_write,17183.93
summit_sealfs_write,17177.21
summit_sealfs_write,17170.47
summit_sealfs_write,17170.28
summit_sealfs_write,17167.36
summit_sealfs_write,17167.06
summit_sealfs_write,17166.85
summit_sealfs_write,17166.59
summit_sealfs_write,17163.09
summit_sealfs_write,17159.7
