 ------------------------------------------
 14) python3-313577 =>  <...>-313765 
 ------------------------------------------

 14)   7.660 us    |  ext4_file_write_iter();
  6)   6.509 us    |  ext4_file_write_iter();
 13)   6.094 us    |  ext4_file_write_iter();
 14)   5.519 us    |  ext4_file_write_iter();
  6)   5.099 us    |  ext4_file_write_iter();
 12) + 18.052 us   |  ext4_file_write_iter();
 13)   4.545 us    |  ext4_file_write_iter();
 14)   5.379 us    |  ext4_file_write_iter();
  6)   4.941 us    |  ext4_file_write_iter();
  5) + 23.733 us   |  ext4_file_write_iter();
  6)   5.747 us    |  ext4_file_write_iter();
 13)   5.992 us    |  ext4_file_write_iter();
 14)   6.926 us    |  ext4_file_write_iter();
  6)   6.050 us    |  ext4_file_write_iter();
  0) + 17.622 us   |  ext4_file_write_iter();
 13)   5.506 us    |  ext4_file_write_iter();
 14)   6.003 us    |  ext4_file_write_iter();
  6) + 18.886 us   |  ext4_file_write_iter();
  0) + 18.594 us   |  ext4_file_write_iter();
  0) + 20.335 us   |  ext4_file_write_iter();
  0) + 15.604 us   |  ext4_file_write_iter();
  0) + 19.815 us   |  ext4_file_write_iter();
  0) + 16.114 us   |  ext4_file_write_iter();
  0) + 19.960 us   |  ext4_file_write_iter();
  0) + 17.797 us   |  ext4_file_write_iter();
  0) + 19.723 us   |  ext4_file_write_iter();
  0) + 17.720 us   |  ext4_file_write_iter();
  0) + 19.196 us   |  ext4_file_write_iter();
 ------------------------------------------
  6)  rosout-2109   =>  iotop-313771 
 ------------------------------------------

  6)   7.806 us    |  ext4_file_write_iter();
  0) + 16.708 us   |  ext4_file_write_iter();
  0) + 17.491 us   |  ext4_file_write_iter();
  0) + 18.088 us   |  ext4_file_write_iter();
  0) + 20.806 us   |  ext4_file_write_iter();
  0) + 16.965 us   |  ext4_file_write_iter();
  0) + 17.426 us   |  ext4_file_write_iter();
  0) + 18.121 us   |  ext4_file_write_iter();
  0) + 19.701 us   |  ext4_file_write_iter();
  0) + 17.170 us   |  ext4_file_write_iter();
  8) + 10.623 us   |  ext4_file_write_iter();
  0) + 16.088 us   |  ext4_file_write_iter();
 13)   7.647 us    |  ext4_file_write_iter();
  9)   7.464 us    |  ext4_file_write_iter();
  8)   6.187 us    |  ext4_file_write_iter();
 13)   6.228 us    |  ext4_file_write_iter();
  9)   6.032 us    |  ext4_file_write_iter();
  8)   6.050 us    |  ext4_file_write_iter();
 13)   6.612 us    |  ext4_file_write_iter();
  9)   6.172 us    |  ext4_file_write_iter();
  8)   5.997 us    |  ext4_file_write_iter();
 13)   5.227 us    |  ext4_file_write_iter();
  9)   4.917 us    |  ext4_file_write_iter();
  8)   5.249 us    |  ext4_file_write_iter();
 13)   4.736 us    |  ext4_file_write_iter();
  9)   5.622 us    |  ext4_file_write_iter();
  8) + 13.439 us   |  ext4_file_write_iter();
 13)   6.839 us    |  ext4_file_write_iter();
  9)   6.275 us    |  ext4_file_write_iter();
  8)   6.232 us    |  ext4_file_write_iter();
 ------------------------------------------
 14)  <...>-313765  => python3-313577
 ------------------------------------------

 14) + 21.973 us   |  ext4_file_write_iter();
 13)   6.207 us    |  ext4_file_write_iter();
  9)   6.015 us    |  ext4_file_write_iter();
  8)   6.224 us    |  ext4_file_write_iter();
 13)   7.659 us    |  ext4_file_write_iter();
  9)   6.207 us    |  ext4_file_write_iter();
  8)   6.120 us    |  ext4_file_write_iter();
 12) + 16.035 us   |  ext4_file_write_iter();
 13)   5.314 us    |  ext4_file_write_iter();
  9) + 11.488 us   |  ext4_file_write_iter();
  8) + 11.608 us   |  ext4_file_write_iter();
 14) + 17.459 us   |  ext4_file_write_iter();
 14) + 14.740 us   |  ext4_file_write_iter();
 14) + 19.443 us   |  ext4_file_write_iter();
 14) + 15.941 us   |  ext4_file_write_iter();
 14) + 20.502 us   |  ext4_file_write_iter();
 14) + 18.141 us   |  ext4_file_write_iter();
 14) + 20.810 us   |  ext4_file_write_iter();
 14) + 14.281 us   |  ext4_file_write_iter();
 14) + 19.409 us   |  ext4_file_write_iter();
 14) + 17.149 us   |  ext4_file_write_iter();
 ------------------------------------------
  9)  <...>-313792  =>  iotop-313771 
 ------------------------------------------

  9)   9.604 us    |  ext4_file_write_iter();
 14) + 21.262 us   |  ext4_file_write_iter();
