# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 14) + 19.947 us   |  ext4_file_write_iter();
 14) + 17.662 us   |  ext4_file_write_iter();
 14) + 18.640 us   |  ext4_file_write_iter();
 14) + 16.786 us   |  ext4_file_write_iter();
 14) + 16.591 us   |  ext4_file_write_iter();
 14) + 16.500 us   |  ext4_file_write_iter();
 14) + 20.612 us   |  ext4_file_write_iter();
 14) + 17.837 us   |  ext4_file_write_iter();
 14) + 22.157 us   |  ext4_file_write_iter();
 14) + 20.801 us   |  ext4_file_write_iter();
 12)   7.411 us    |  ext4_file_write_iter();
  7)   8.456 us    |  ext4_file_write_iter();
  1)   7.065 us    |  ext4_file_write_iter();
 12)   5.971 us    |  ext4_file_write_iter();
  7)   7.081 us    |  ext4_file_write_iter();
  1) + 13.871 us   |  ext4_file_write_iter();
 12)   6.064 us    |  ext4_file_write_iter();
  7)   6.271 us    |  ext4_file_write_iter();
  1)   6.051 us    |  ext4_file_write_iter();
  9)   5.853 us    |  ext4_file_write_iter();
  7)   5.356 us    |  ext4_file_write_iter();
 11) + 21.849 us   |  ext4_file_write_iter();
 15)   5.491 us    |  ext4_file_write_iter();
  9)   5.217 us    |  ext4_file_write_iter();
  7)   5.461 us    |  ext4_file_write_iter();
 15)   4.718 us    |  ext4_file_write_iter();
  2)   9.106 us    |  ext4_file_write_iter();
  7)   7.217 us    |  ext4_file_write_iter();
 15)   6.533 us    |  ext4_file_write_iter();
  2)   6.249 us    |  ext4_file_write_iter();
  7)   6.590 us    |  ext4_file_write_iter();
 15)   6.827 us    |  ext4_file_write_iter();
 14) + 18.371 us   |  ext4_file_write_iter();
 10) + 19.754 us   |  ext4_file_write_iter();
 10) + 17.652 us   |  ext4_file_write_iter();
 10) + 13.592 us   |  ext4_file_write_iter();
 10) + 16.391 us   |  ext4_file_write_iter();
 10) + 13.325 us   |  ext4_file_write_iter();
 10) + 18.271 us   |  ext4_file_write_iter();
  6)   9.620 us    |  ext4_file_write_iter();
 10) + 14.726 us   |  ext4_file_write_iter();
 10) + 17.760 us   |  ext4_file_write_iter();
 15) + 18.743 us   |  ext4_file_write_iter();
 10) + 12.023 us   |  ext4_file_write_iter();
 10) + 21.580 us   |  ext4_file_write_iter();
 10) + 18.546 us   |  ext4_file_write_iter();
 10) + 20.268 us   |  ext4_file_write_iter();
 10) + 12.974 us   |  ext4_file_write_iter();
 10) + 18.370 us   |  ext4_file_write_iter();
 10) + 14.088 us   |  ext4_file_write_iter();
 10) + 19.161 us   |  ext4_file_write_iter();
 10) + 15.050 us   |  ext4_file_write_iter();
 10) + 16.692 us   |  ext4_file_write_iter();
 10) + 15.430 us   |  ext4_file_write_iter();
 10) + 15.040 us   |  ext4_file_write_iter();
  2)   7.042 us    |  ext4_file_write_iter();
 ------------------------------------------
  7)  <...>-339572  =>  <...>-339600 
 ------------------------------------------

  7)   8.707 us    |  ext4_file_write_iter();
 15)   7.738 us    |  ext4_file_write_iter();
  2)   5.639 us    |  ext4_file_write_iter();
  7) + 15.829 us   |  ext4_file_write_iter();
 15)   5.494 us    |  ext4_file_write_iter();
  2)   5.555 us    |  ext4_file_write_iter();
  7)   7.337 us    |  ext4_file_write_iter();
 15)   5.636 us    |  ext4_file_write_iter();
  2)   4.939 us    |  ext4_file_write_iter();
 15)   6.162 us    |  ext4_file_write_iter();
  7)   4.373 us    |  ext4_file_write_iter();
  2)   4.282 us    |  ext4_file_write_iter();
 15)   6.226 us    |  ext4_file_write_iter();
  7)   4.400 us    |  ext4_file_write_iter();
  9)   7.576 us    |  ext4_file_write_iter();
 ------------------------------------------
  6)  iotop-339574  =>  <...>-339600 
 ------------------------------------------

  6)   8.066 us    |  ext4_file_write_iter();
 15) + 13.771 us   |  ext4_file_write_iter();
 10) + 16.018 us   |  ext4_file_write_iter();
  9)   6.196 us    |  ext4_file_write_iter();
  6)   6.461 us    |  ext4_file_write_iter();
 15)   6.070 us    |  ext4_file_write_iter();
 10) + 16.623 us   |  ext4_file_write_iter();
 10) + 15.232 us   |  ext4_file_write_iter();
 10) + 16.241 us   |  ext4_file_write_iter();
 10) + 16.721 us   |  ext4_file_write_iter();
 10) + 17.587 us   |  ext4_file_write_iter();
 10) + 18.647 us   |  ext4_file_write_iter();
 ------------------------------------------
  6)  <...>-339600  =>  iotop-339574 
 ------------------------------------------

  6)   9.187 us    |  ext4_file_write_iter();
 10) + 17.014 us   |  ext4_file_write_iter();
 10) + 16.667 us   |  ext4_file_write_iter();
 15)   7.850 us    |  ext4_file_write_iter();
 10) + 18.882 us   |  ext4_file_write_iter();
 10) + 17.591 us   |  ext4_file_write_iter();
 10) + 22.058 us   |  ext4_file_write_iter();
 10) + 14.228 us   |  ext4_file_write_iter();
 10) + 21.351 us   |  ext4_file_write_iter();
 10) + 15.812 us   |  ext4_file_write_iter();
 10) + 16.554 us   |  ext4_file_write_iter();
 10) + 14.103 us   |  ext4_file_write_iter();
 10) + 24.435 us   |  ext4_file_write_iter();
 10) + 13.903 us   |  ext4_file_write_iter();
 10) + 17.865 us   |  ext4_file_write_iter();
 10) + 15.757 us   |  ext4_file_write_iter();
  9) + 17.051 us   |  ext4_file_write_iter();
 ------------------------------------------
  7)  <...>-339600  =>  <...>-339626 
 ------------------------------------------

  7)   8.486 us    |  ext4_file_write_iter();
 15)   8.677 us    |  ext4_file_write_iter();
  9)   6.224 us    |  ext4_file_write_iter();
  7)   7.335 us    |  ext4_file_write_iter();
 15)   5.917 us    |  ext4_file_write_iter();
  9)   6.952 us    |  ext4_file_write_iter();
  7)   6.732 us    |  ext4_file_write_iter();
 15)   6.762 us    |  ext4_file_write_iter();
  9)   4.759 us    |  ext4_file_write_iter();
  7)   6.302 us    |  ext4_file_write_iter();
 15)   4.918 us    |  ext4_file_write_iter();
  9)   4.937 us    |  ext4_file_write_iter();
  7)   5.324 us    |  ext4_file_write_iter();
 15) + 14.194 us   |  ext4_file_write_iter();
  9)   7.829 us    |  ext4_file_write_iter();
  7)   6.612 us    |  ext4_file_write_iter();
 15)   6.530 us    |  ext4_file_write_iter();
 10) + 14.704 us   |  ext4_file_write_iter();
  9)   6.031 us    |  ext4_file_write_iter();
  7)   6.204 us    |  ext4_file_write_iter();
 15)   6.385 us    |  ext4_file_write_iter();
 10) + 18.043 us   |  ext4_file_write_iter();
 10) + 18.604 us   |  ext4_file_write_iter();
 10) + 13.866 us   |  ext4_file_write_iter();
 10) + 17.764 us   |  ext4_file_write_iter();
 10) + 22.014 us   |  ext4_file_write_iter();
 10) + 19.872 us   |  ext4_file_write_iter();
  6) + 10.125 us   |  ext4_file_write_iter();
 10) + 16.870 us   |  ext4_file_write_iter();
 15)   7.429 us    |  ext4_file_write_iter();
 10) + 17.927 us   |  ext4_file_write_iter();
 10) + 17.361 us   |  ext4_file_write_iter();
 10) + 16.264 us   |  ext4_file_write_iter();
 10) + 15.362 us   |  ext4_file_write_iter();
 10) + 18.203 us   |  ext4_file_write_iter();
 10) + 16.384 us   |  ext4_file_write_iter();
 10) + 19.516 us   |  ext4_file_write_iter();
 10) + 18.129 us   |  ext4_file_write_iter();
 10) + 14.622 us   |  ext4_file_write_iter();
 10) + 16.424 us   |  ext4_file_write_iter();
 10) + 17.732 us   |  ext4_file_write_iter();
 10) + 14.685 us   |  ext4_file_write_iter();
 10) + 18.649 us   |  ext4_file_write_iter();
  9)   7.894 us    |  ext4_file_write_iter();
 ------------------------------------------
  6)  iotop-339574  =>  <...>-339650 
 ------------------------------------------

  6)   7.464 us    |  ext4_file_write_iter();
 15)   6.778 us    |  ext4_file_write_iter();
  9)   6.028 us    |  ext4_file_write_iter();
  6)   5.803 us    |  ext4_file_write_iter();
 15)   7.094 us    |  ext4_file_write_iter();
  9)   6.170 us    |  ext4_file_write_iter();
  6)   6.298 us    |  ext4_file_write_iter();
 15) + 19.060 us   |  ext4_file_write_iter();
  9)   5.875 us    |  ext4_file_write_iter();
  6)   6.196 us    |  ext4_file_write_iter();
 15)   5.245 us    |  ext4_file_write_iter();
  9)   5.029 us    |  ext4_file_write_iter();
  6)   5.000 us    |  ext4_file_write_iter();
 15)   5.198 us    |  ext4_file_write_iter();
 10) + 14.593 us   |  ext4_file_write_iter();
 ------------------------------------------
 12)  rosmast-2919  =>  rosmon-2629  
 ------------------------------------------

 12) + 14.823 us   |  ext4_file_write_iter();
 ------------------------------------------
  7)  <...>-339626  =>  rosmast-2919 
 ------------------------------------------

  7)   7.813 us    |  ext4_file_write_iter();
  6)   6.279 us    |  ext4_file_write_iter();
 15)   5.971 us    |  ext4_file_write_iter();
  7)   6.251 us    |  ext4_file_write_iter();
  6)   6.213 us    |  ext4_file_write_iter();
 15)   5.875 us    |  ext4_file_write_iter();
 10) + 22.604 us   |  ext4_file_write_iter();
 10) + 12.952 us   |  ext4_file_write_iter();
 10) + 19.157 us   |  ext4_file_write_iter();
 10) + 14.626 us   |  ext4_file_write_iter();
 10) + 20.367 us   |  ext4_file_write_iter();
 10) + 17.922 us   |  ext4_file_write_iter();
 ------------------------------------------
  6)  <...>-339650  =>  iotop-339574 
 ------------------------------------------

  6)   7.418 us    |  ext4_file_write_iter();
 15)   8.428 us    |  ext4_file_write_iter();
 10) + 20.723 us   |  ext4_file_write_iter();
 10) + 16.005 us   |  ext4_file_write_iter();
 10) + 20.429 us   |  ext4_file_write_iter();
 10) + 16.048 us   |  ext4_file_write_iter();
 10) + 20.763 us   |  ext4_file_write_iter();
 10) + 14.585 us   |  ext4_file_write_iter();
 10) + 18.008 us   |  ext4_file_write_iter();
 10) + 16.067 us   |  ext4_file_write_iter();
 10) + 18.444 us   |  ext4_file_write_iter();
 10) + 16.493 us   |  ext4_file_write_iter();
 10) + 17.352 us   |  ext4_file_write_iter();
 10) + 13.339 us   |  ext4_file_write_iter();
 10) + 17.424 us   |  ext4_file_write_iter();
 10) + 18.107 us   |  ext4_file_write_iter();
  7)   9.049 us    |  ext4_file_write_iter();
 ------------------------------------------
 10) python3-339405 =>  <...>-339674 
 ------------------------------------------

 10)   8.808 us    |  ext4_file_write_iter();
  1)   6.793 us    |  ext4_file_write_iter();
  7)   7.065 us    |  ext4_file_write_iter();
 10)   6.281 us    |  ext4_file_write_iter();
  1) + 16.795 us   |  ext4_file_write_iter();
  7)   6.753 us    |  ext4_file_write_iter();
 10)   6.376 us    |  ext4_file_write_iter();
  1)   5.291 us    |  ext4_file_write_iter();
  7)   4.985 us    |  ext4_file_write_iter();
 10)   5.828 us    |  ext4_file_write_iter();
  1)   5.036 us    |  ext4_file_write_iter();
  7)   5.580 us    |  ext4_file_write_iter();
  1)   3.868 us    |  ext4_file_write_iter();
 10)   4.936 us    |  ext4_file_write_iter();
 14) + 20.840 us   |  ext4_file_write_iter();
  9)   6.354 us    |  ext4_file_write_iter();
 10)   6.017 us    |  ext4_file_write_iter();
  1)   5.290 us    |  ext4_file_write_iter();
  9)   5.915 us    |  ext4_file_write_iter();
 10)   5.995 us    |  ext4_file_write_iter();
  1)   5.123 us    |  ext4_file_write_iter();
  9)   5.982 us    |  ext4_file_write_iter();
 10)   5.976 us    |  ext4_file_write_iter();
  1) + 11.749 us   |  ext4_file_write_iter();
 13) + 18.820 us   |  ext4_file_write_iter();
  9)   4.514 us    |  ext4_file_write_iter();
 10) + 11.809 us   |  ext4_file_write_iter();
  1)   4.548 us    |  ext4_file_write_iter();
 14) + 16.613 us   |  ext4_file_write_iter();
 14) + 17.602 us   |  ext4_file_write_iter();
 14) + 20.678 us   |  ext4_file_write_iter();
 14) + 19.238 us   |  ext4_file_write_iter();
 14) + 17.307 us   |  ext4_file_write_iter();
 15)   8.081 us    |  ext4_file_write_iter();
 ------------------------------------------
 12)  rosmon-2629   =>  rosout-2109  
 ------------------------------------------

 12)   8.664 us    |  ext4_file_write_iter();
  6)   6.808 us    |  ext4_file_write_iter();
 14) + 16.859 us   |  ext4_file_write_iter();
 14) + 15.924 us   |  ext4_file_write_iter();
 14) + 20.894 us   |  ext4_file_write_iter();
 14) + 17.556 us   |  ext4_file_write_iter();
 14) + 22.266 us   |  ext4_file_write_iter();
 14) + 16.323 us   |  ext4_file_write_iter();
 14) + 22.456 us   |  ext4_file_write_iter();
 14) + 18.139 us   |  ext4_file_write_iter();
 14) + 19.611 us   |  ext4_file_write_iter();
 14) + 14.576 us   |  ext4_file_write_iter();
 14) + 17.137 us   |  ext4_file_write_iter();
 14) + 15.181 us   |  ext4_file_write_iter();
 14) + 18.461 us   |  ext4_file_write_iter();
 14) + 14.717 us   |  ext4_file_write_iter();
 14) + 17.964 us   |  ext4_file_write_iter();
  9)   9.680 us    |  ext4_file_write_iter();
 ------------------------------------------
 14) python3-339405 =>  <...>-339698 
 ------------------------------------------

 14)   8.550 us    |  ext4_file_write_iter();
 12) + 13.043 us   |  ext4_file_write_iter();
  9)   5.932 us    |  ext4_file_write_iter();
 14)   5.984 us    |  ext4_file_write_iter();
 12)   6.071 us    |  ext4_file_write_iter();
  9)   6.201 us    |  ext4_file_write_iter();
 14)   6.143 us    |  ext4_file_write_iter();
 12)   6.069 us    |  ext4_file_write_iter();
  9)   5.177 us    |  ext4_file_write_iter();
 ------------------------------------------
 10)  <...>-339674  =>  <...>-339698 
 ------------------------------------------

 10)   5.688 us    |  ext4_file_write_iter();
 12)   5.093 us    |  ext4_file_write_iter();
  9)   5.487 us    |  ext4_file_write_iter();
 ------------------------------------------
 14)  <...>-339698  => python3-339405
 ------------------------------------------

 14) + 17.321 us   |  ext4_file_write_iter();
 10)   5.978 us    |  ext4_file_write_iter();
 12)   5.936 us    |  ext4_file_write_iter();
  9)   6.901 us    |  ext4_file_write_iter();
 10)   5.900 us    |  ext4_file_write_iter();
 12)   5.668 us    |  ext4_file_write_iter();
  9)   6.144 us    |  ext4_file_write_iter();
 10)   5.786 us    |  ext4_file_write_iter();
 12) + 12.527 us   |  ext4_file_write_iter();
 14) + 19.007 us   |  ext4_file_write_iter();
 14) + 18.134 us   |  ext4_file_write_iter();
 14) + 18.822 us   |  ext4_file_write_iter();
 14) + 17.268 us   |  ext4_file_write_iter();
 14) + 26.788 us   |  ext4_file_write_iter();
 15)   7.402 us    |  ext4_file_write_iter();
  6)   8.320 us    |  ext4_file_write_iter();
 14) + 19.168 us   |  ext4_file_write_iter();
 14) + 17.940 us   |  ext4_file_write_iter();
 14) + 18.516 us   |  ext4_file_write_iter();
 14) + 17.946 us   |  ext4_file_write_iter();
 ------------------------------------------
 13)  rosmon-2629   =>  rosmast-3079 
 ------------------------------------------

 13)   8.716 us    |  ext4_file_write_iter();
  4) + 10.375 us   |  ext4_file_write_iter();
 15)   7.214 us    |  ext4_file_write_iter();
 13)   5.941 us    |  ext4_file_write_iter();
  4) + 14.015 us   |  ext4_file_write_iter();
 15)   5.304 us    |  ext4_file_write_iter();
 13)   5.077 us    |  ext4_file_write_iter();
  4)   4.957 us    |  ext4_file_write_iter();
 15)   5.289 us    |  ext4_file_write_iter();
 13) + 13.430 us   |  ext4_file_write_iter();
  4)   5.425 us    |  ext4_file_write_iter();
 15)   5.834 us    |  ext4_file_write_iter();
 ------------------------------------------
  1)  rosout-2109   =>  rosmon-2637  
 ------------------------------------------

  1)   8.641 us    |  ext4_file_write_iter();
 13)   5.149 us    |  ext4_file_write_iter();
  4)   4.754 us    |  ext4_file_write_iter();
 15)   5.169 us    |  ext4_file_write_iter();
 13)   5.681 us    |  ext4_file_write_iter();
  4)   5.663 us    |  ext4_file_write_iter();
 15)   5.887 us    |  ext4_file_write_iter();
 13)   5.543 us    |  ext4_file_write_iter();
  4)   4.808 us    |  ext4_file_write_iter();
 15)   5.262 us    |  ext4_file_write_iter();
 13)   4.991 us    |  ext4_file_write_iter();
  4)   5.538 us    |  ext4_file_write_iter();
 14) + 19.124 us   |  ext4_file_write_iter();
 15)   5.563 us    |  ext4_file_write_iter();
 13)   5.872 us    |  ext4_file_write_iter();
  4)   4.781 us    |  ext4_file_write_iter();
 15)   5.146 us    |  ext4_file_write_iter();
 13)   5.143 us    |  ext4_file_write_iter();
  4)   5.173 us    |  ext4_file_write_iter();
 15) + 12.565 us   |  ext4_file_write_iter();
 13)   5.425 us    |  ext4_file_write_iter();
  4)   5.521 us    |  ext4_file_write_iter();
 15)   5.463 us    |  ext4_file_write_iter();
 13)   5.045 us    |  ext4_file_write_iter();
  4)   4.801 us    |  ext4_file_write_iter();
 15)   2.092 us    |  ext4_file_write_iter();
 13)   5.337 us    |  ext4_file_write_iter();
  4)   5.540 us    |  ext4_file_write_iter();
 15)   4.129 us    |  ext4_file_write_iter();
 13)   5.088 us    |  ext4_file_write_iter();
  4)   4.667 us    |  ext4_file_write_iter();
 15)   5.211 us    |  ext4_file_write_iter();
 13)   5.052 us    |  ext4_file_write_iter();
 15)   5.966 us    |  ext4_file_write_iter();
  4)   4.871 us    |  ext4_file_write_iter();
 13)   5.688 us    |  ext4_file_write_iter();
  4)   5.420 us    |  ext4_file_write_iter();
 15)   5.874 us    |  ext4_file_write_iter();
 13)   4.934 us    |  ext4_file_write_iter();
 ------------------------------------------
  7)  rosmast-2919  =>  <...>-339484 
 ------------------------------------------

  7)   7.364 us    |  ext4_file_write_iter();
 15)   5.465 us    |  ext4_file_write_iter();
 13)   5.706 us    |  ext4_file_write_iter();
  7)   5.983 us    |  ext4_file_write_iter();
 15)   6.161 us    |  ext4_file_write_iter();
 13)   5.030 us    |  ext4_file_write_iter();
  7)   6.024 us    |  ext4_file_write_iter();
 15)   5.014 us    |  ext4_file_write_iter();
 13)   5.965 us    |  ext4_file_write_iter();
  7)   6.089 us    |  ext4_file_write_iter();
 15)   5.276 us    |  ext4_file_write_iter();
 14) + 19.603 us   |  ext4_file_write_iter();
 14) + 17.791 us   |  ext4_file_write_iter();
 14) + 18.864 us   |  ext4_file_write_iter();
 14) + 14.758 us   |  ext4_file_write_iter();
 14) + 19.476 us   |  ext4_file_write_iter();
 14) + 14.474 us   |  ext4_file_write_iter();
 14) + 20.253 us   |  ext4_file_write_iter();
 14) + 13.798 us   |  ext4_file_write_iter();
 14) + 19.182 us   |  ext4_file_write_iter();
 14) + 15.826 us   |  ext4_file_write_iter();
  8)   9.982 us    |  ext4_file_write_iter();
 ------------------------------------------
  7)  <...>-339484  =>  <...>-339722 
 ------------------------------------------

  7)   7.752 us    |  ext4_file_write_iter();
 15) + 16.729 us   |  ext4_file_write_iter();
  8)   7.262 us    |  ext4_file_write_iter();
  7)   5.954 us    |  ext4_file_write_iter();
 15)   6.569 us    |  ext4_file_write_iter();
 14) + 16.112 us   |  ext4_file_write_iter();
  8)   6.243 us    |  ext4_file_write_iter();
  7)   6.353 us    |  ext4_file_write_iter();
 15)   6.025 us    |  ext4_file_write_iter();
  8)   5.299 us    |  ext4_file_write_iter();
  7)   5.226 us    |  ext4_file_write_iter();
 15)   5.316 us    |  ext4_file_write_iter();
  8)   6.067 us    |  ext4_file_write_iter();
  7)   6.092 us    |  ext4_file_write_iter();
 15)   6.602 us    |  ext4_file_write_iter();
  8)   7.365 us    |  ext4_file_write_iter();
  7)   6.212 us    |  ext4_file_write_iter();
 15)   5.849 us    |  ext4_file_write_iter();
  8)   6.738 us    |  ext4_file_write_iter();
  7)   6.084 us    |  ext4_file_write_iter();
 15) + 16.154 us   |  ext4_file_write_iter();
 14) + 13.308 us   |  ext4_file_write_iter();
 14) + 26.320 us   |  ext4_file_write_iter();
 14) + 15.883 us   |  ext4_file_write_iter();
 14) + 21.434 us   |  ext4_file_write_iter();
 12)   9.776 us    |  ext4_file_write_iter();
 14) + 19.755 us   |  ext4_file_write_iter();
 ------------------------------------------
 13)  rosmast-3079  =>  iotop-339574 
 ------------------------------------------

 13) + 13.309 us   |  ext4_file_write_iter();
 14) + 20.086 us   |  ext4_file_write_iter();
 14) + 16.988 us   |  ext4_file_write_iter();
 14) + 18.368 us   |  ext4_file_write_iter();
 14) + 17.904 us   |  ext4_file_write_iter();
 14) + 17.596 us   |  ext4_file_write_iter();
 14) + 20.639 us   |  ext4_file_write_iter();
 14) + 19.557 us   |  ext4_file_write_iter();
 14) + 16.697 us   |  ext4_file_write_iter();
 14) + 15.736 us   |  ext4_file_write_iter();
 14) + 15.904 us   |  ext4_file_write_iter();
 14) + 17.929 us   |  ext4_file_write_iter();
 14) + 15.536 us   |  ext4_file_write_iter();
 14) + 16.962 us   |  ext4_file_write_iter();
 14) + 16.374 us   |  ext4_file_write_iter();
 14) + 17.996 us   |  ext4_file_write_iter();
  8) + 10.985 us   |  ext4_file_write_iter();
  3)   9.700 us    |  ext4_file_write_iter();
 15)   8.411 us    |  ext4_file_write_iter();
 14) + 15.953 us   |  ext4_file_write_iter();
  8)   6.477 us    |  ext4_file_write_iter();
  3)   6.230 us    |  ext4_file_write_iter();
 15)   6.470 us    |  ext4_file_write_iter();
  8)   6.324 us    |  ext4_file_write_iter();
  3)   5.868 us    |  ext4_file_write_iter();
 15)   5.997 us    |  ext4_file_write_iter();
  8)   5.331 us    |  ext4_file_write_iter();
 15)   5.333 us    |  ext4_file_write_iter();
  3)   4.981 us    |  ext4_file_write_iter();
  8)   6.077 us    |  ext4_file_write_iter();
  3) + 13.122 us   |  ext4_file_write_iter();
 15)   6.060 us    |  ext4_file_write_iter();
 ------------------------------------------
 14) python3-339405 =>  rosmon-2629  
 ------------------------------------------

 14) + 20.376 us   |  ext4_file_write_iter();
 ------------------------------------------
  3)  <...>-339766  =>  rosmast-2919 
 ------------------------------------------

  3) + 17.986 us   |  ext4_file_write_iter();
 ------------------------------------------
  4)  <...>-339484  =>  <...>-339766 
 ------------------------------------------

  4)   7.848 us    |  ext4_file_write_iter();
 15) + 15.491 us   |  ext4_file_write_iter();
  3)   6.402 us    |  ext4_file_write_iter();
  4)   6.470 us    |  ext4_file_write_iter();
 15)   6.204 us    |  ext4_file_write_iter();
 ------------------------------------------
 14)  rosmon-2629   => python3-339405
 ------------------------------------------

 14) + 17.674 us   |  ext4_file_write_iter();
 14) + 15.720 us   |  ext4_file_write_iter();
 14) + 22.219 us   |  ext4_file_write_iter();
 14) + 18.484 us   |  ext4_file_write_iter();
 13) + 12.715 us   |  ext4_file_write_iter();
 15)   7.538 us    |  ext4_file_write_iter();
 14) + 16.916 us   |  ext4_file_write_iter();
 14) + 14.555 us   |  ext4_file_write_iter();
 14) + 21.484 us   |  ext4_file_write_iter();
 14) + 19.845 us   |  ext4_file_write_iter();
 14) + 19.737 us   |  ext4_file_write_iter();
 14) + 19.348 us   |  ext4_file_write_iter();
 14) + 22.871 us   |  ext4_file_write_iter();
 14) + 14.420 us   |  ext4_file_write_iter();
 14) + 20.219 us   |  ext4_file_write_iter();
 14) + 14.608 us   |  ext4_file_write_iter();
 14) + 20.115 us   |  ext4_file_write_iter();
 14) + 15.301 us   |  ext4_file_write_iter();
 14) + 21.226 us   |  ext4_file_write_iter();
 14) + 14.791 us   |  ext4_file_write_iter();
 14) + 17.839 us   |  ext4_file_write_iter();
 14) + 19.922 us   |  ext4_file_write_iter();
 14) + 17.855 us   |  ext4_file_write_iter();
  3)   7.117 us    |  ext4_file_write_iter();
  0)   8.118 us    |  ext4_file_write_iter();
 15)   7.049 us    |  ext4_file_write_iter();
  3)   5.684 us    |  ext4_file_write_iter();
  0)   6.087 us    |  ext4_file_write_iter();
 15)   5.313 us    |  ext4_file_write_iter();
  8) + 16.128 us   |  ext4_file_write_iter();
  0)   5.628 us    |  ext4_file_write_iter();
 15)   5.103 us    |  ext4_file_write_iter();
  8)   5.897 us    |  ext4_file_write_iter();
 15) + 12.132 us   |  ext4_file_write_iter();
  0)   5.673 us    |  ext4_file_write_iter();
  8)   4.909 us    |  ext4_file_write_iter();
 15)   3.467 us    |  ext4_file_write_iter();
  0)   5.169 us    |  ext4_file_write_iter();
  8)   6.540 us    |  ext4_file_write_iter();
  0)   5.856 us    |  ext4_file_write_iter();
 15)   4.912 us    |  ext4_file_write_iter();
  8)   6.422 us    |  ext4_file_write_iter();
  5)   7.739 us    |  ext4_file_write_iter();
 12)   6.264 us    |  ext4_file_write_iter();
 14) + 18.505 us   |  ext4_file_write_iter();
 14) + 19.601 us   |  ext4_file_write_iter();
 14) + 19.452 us   |  ext4_file_write_iter();
 12) + 10.200 us   |  ext4_file_write_iter();
 14) + 16.106 us   |  ext4_file_write_iter();
 13)   7.661 us    |  ext4_file_write_iter();
 14) + 19.594 us   |  ext4_file_write_iter();
 14) + 25.269 us   |  ext4_file_write_iter();
 14) + 18.428 us   |  ext4_file_write_iter();
