# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 12) + 73.933 us   |  sealfs_write [sealfs]();
 12) + 70.406 us   |  sealfs_write [sealfs]();
 12) + 67.907 us   |  sealfs_write [sealfs]();
 12) + 75.271 us   |  sealfs_write [sealfs]();
 12) + 68.202 us   |  sealfs_write [sealfs]();
 12) + 64.269 us   |  sealfs_write [sealfs]();
 12) + 68.228 us   |  sealfs_write [sealfs]();
 12) + 65.406 us   |  sealfs_write [sealfs]();
 12) + 68.085 us   |  sealfs_write [sealfs]();
 12) + 63.096 us   |  sealfs_write [sealfs]();
 12) + 71.130 us   |  sealfs_write [sealfs]();
 12) + 68.826 us   |  sealfs_write [sealfs]();
 12) + 67.056 us   |  sealfs_write [sealfs]();
 12) + 61.023 us   |  sealfs_write [sealfs]();
 12) ! 100.240 us  |  sealfs_write [sealfs]();
 12) + 73.401 us   |  sealfs_write [sealfs]();
 12) + 71.538 us   |  sealfs_write [sealfs]();
 12) + 69.875 us   |  sealfs_write [sealfs]();
 12) + 70.103 us   |  sealfs_write [sealfs]();
 12) + 70.681 us   |  sealfs_write [sealfs]();
 12) + 72.369 us   |  sealfs_write [sealfs]();
 12) + 66.589 us   |  sealfs_write [sealfs]();
 12) + 74.826 us   |  sealfs_write [sealfs]();
 12) + 70.592 us   |  sealfs_write [sealfs]();
 12) + 74.266 us   |  sealfs_write [sealfs]();
 12) + 64.964 us   |  sealfs_write [sealfs]();
 12) + 71.874 us   |  sealfs_write [sealfs]();
 12) + 66.547 us   |  sealfs_write [sealfs]();
 12) + 73.258 us   |  sealfs_write [sealfs]();
 12) + 66.275 us   |  sealfs_write [sealfs]();
 12) + 71.838 us   |  sealfs_write [sealfs]();
 12) + 67.569 us   |  sealfs_write [sealfs]();
 12) + 73.538 us   |  sealfs_write [sealfs]();
 12) + 69.774 us   |  sealfs_write [sealfs]();
 12) + 77.699 us   |  sealfs_write [sealfs]();
 12) + 69.715 us   |  sealfs_write [sealfs]();
 12) + 70.165 us   |  sealfs_write [sealfs]();
 12) + 69.782 us   |  sealfs_write [sealfs]();
 12) + 75.060 us   |  sealfs_write [sealfs]();
 12) + 71.227 us   |  sealfs_write [sealfs]();
 12) + 71.259 us   |  sealfs_write [sealfs]();
 12) + 69.091 us   |  sealfs_write [sealfs]();
 12) + 72.075 us   |  sealfs_write [sealfs]();
 12) + 72.842 us   |  sealfs_write [sealfs]();
 12) + 71.744 us   |  sealfs_write [sealfs]();
 12) + 68.155 us   |  sealfs_write [sealfs]();
 12) + 70.781 us   |  sealfs_write [sealfs]();
 12) + 68.621 us   |  sealfs_write [sealfs]();
 12) + 70.916 us   |  sealfs_write [sealfs]();
 12) + 67.063 us   |  sealfs_write [sealfs]();
 12) + 66.881 us   |  sealfs_write [sealfs]();
 12) + 66.924 us   |  sealfs_write [sealfs]();
 12) + 71.461 us   |  sealfs_write [sealfs]();
 12) + 65.557 us   |  sealfs_write [sealfs]();
 12) + 70.906 us   |  sealfs_write [sealfs]();
 12) + 66.320 us   |  sealfs_write [sealfs]();
 12) + 72.306 us   |  sealfs_write [sealfs]();
 12) + 70.073 us   |  sealfs_write [sealfs]();
 12) + 73.705 us   |  sealfs_write [sealfs]();
 12) + 70.234 us   |  sealfs_write [sealfs]();
 12) + 89.044 us   |  sealfs_write [sealfs]();
 12) + 68.262 us   |  sealfs_write [sealfs]();
 12) + 75.423 us   |  sealfs_write [sealfs]();
 12) + 93.875 us   |  sealfs_write [sealfs]();
 12) + 74.616 us   |  sealfs_write [sealfs]();
 12) + 68.567 us   |  sealfs_write [sealfs]();
 12) + 71.982 us   |  sealfs_write [sealfs]();
 12) + 69.263 us   |  sealfs_write [sealfs]();
 12) + 70.370 us   |  sealfs_write [sealfs]();
 12) + 77.469 us   |  sealfs_write [sealfs]();
 12) + 68.915 us   |  sealfs_write [sealfs]();
 12) + 79.588 us   |  sealfs_write [sealfs]();
 12) + 70.936 us   |  sealfs_write [sealfs]();
 12) + 67.478 us   |  sealfs_write [sealfs]();
 12) + 73.513 us   |  sealfs_write [sealfs]();
 12) + 77.679 us   |  sealfs_write [sealfs]();
 12) + 70.994 us   |  sealfs_write [sealfs]();
 12) + 68.561 us   |  sealfs_write [sealfs]();
 12) + 71.748 us   |  sealfs_write [sealfs]();
 12) + 70.669 us   |  sealfs_write [sealfs]();
 12) + 75.200 us   |  sealfs_write [sealfs]();
 12) + 66.522 us   |  sealfs_write [sealfs]();
 12) + 74.072 us   |  sealfs_write [sealfs]();
 12) + 66.246 us   |  sealfs_write [sealfs]();
 12) + 70.752 us   |  sealfs_write [sealfs]();
 12) + 67.260 us   |  sealfs_write [sealfs]();
 12) + 73.474 us   |  sealfs_write [sealfs]();
 12) + 66.424 us   |  sealfs_write [sealfs]();
 12) + 67.943 us   |  sealfs_write [sealfs]();
 12) + 60.325 us   |  sealfs_write [sealfs]();
 12) + 71.294 us   |  sealfs_write [sealfs]();
 12) + 65.582 us   |  sealfs_write [sealfs]();
