Summit Latency on Audio Test,time (uS)
ext4_write,193.198
ext4_write,176.531
ext4_write,149.267
ext4_write,125.373
ext4_write,125.115
ext4_write,118.749
ext4_write,118.029
ext4_write,116.004
ext4_write,115.551
ext4_write,115.268
ext4_write,114.878
ext4_write,114.373
ext4_write,114.354
ext4_write,114.315
ext4_write,114.309
ext4_write,114.184
ext4_write,114.153
ext4_write,114.147
ext4_write,114.01
ext4_write,113.652
ext4_write,113.627
ext4_write,112.474
ext4_write,112.436
ext4_write,112.354
ext4_write,112.272
ext4_write,111.839
ext4_write,111.762
ext4_write,111.739
ext4_write,111.614
ext4_write,111.432
ext4_write,111.269
ext4_write,111.075
ext4_write,110.646
ext4_write,110.602
ext4_write,110.564
ext4_write,110.473
ext4_write,110.245
ext4_write,110.228
ext4_write,110.174
ext4_write,110.172
ext4_write,109.915
ext4_write,109.791
ext4_write,109.693
ext4_write,109.668
ext4_write,109.574
ext4_write,109.504
ext4_write,109.223
ext4_write,109.218
ext4_write,109.035
ext4_write,108.818
ext4_write,108.574
ext4_write,108.464
ext4_write,108.35
ext4_write,108.296
ext4_write,108.139
ext4_write,108.083
ext4_write,108.031
ext4_write,108.008
ext4_write,107.942
ext4_write,107.922
ext4_write,107.632
ext4_write,107.619
ext4_write,107.556
ext4_write,107.435
ext4_write,107.364
ext4_write,107.291
ext4_write,107.076
ext4_write,107.031
ext4_write,107.025
ext4_write,106.996
ext4_write,106.97
ext4_write,106.884
ext4_write,106.774
ext4_write,106.772
ext4_write,106.635
ext4_write,106.616
ext4_write,106.591
ext4_write,106.462
ext4_write,105.999
ext4_write,105.8
ext4_write,105.743
ext4_write,105.64
ext4_write,105.598
ext4_write,105.597
ext4_write,105.58
ext4_write,105.574
ext4_write,105.39
ext4_write,105.326
ext4_write,105.252
ext4_write,105.234
ext4_write,105.096
ext4_write,104.979
ext4_write,104.821
ext4_write,104.816
ext4_write,104.669
ext4_write,104.38
ext4_write,104.256
ext4_write,104.171
ext4_write,104.113
ext4_write,103.981
ext4_write,103.587
ext4_write,103.514
ext4_write,103.431
ext4_write,103.424
ext4_write,103.279
ext4_write,102.904
ext4_write,102.777
ext4_write,102.703
ext4_write,102.702
ext4_write,102.131
ext4_write,101.586
ext4_write,101.45
ext4_write,101.398
ext4_write,101.29
ext4_write,101.207
ext4_write,101.187
ext4_write,100.88
ext4_write,100.285
ext4_write,100.24
ext4_write,100.132
ext4_write,100.037
ext4_write,99.985
ext4_write,99.877
ext4_write,99.793
ext4_write,99.733
ext4_write,99.712
ext4_write,99.545
ext4_write,99.396
ext4_write,98.925
ext4_write,98.845
ext4_write,98.639
ext4_write,98.33
ext4_write,97.943
ext4_write,97.695
ext4_write,97.593
ext4_write,97.295
ext4_write,97.245
ext4_write,97.205
ext4_write,97.124
ext4_write,97.113
ext4_write,97.101
ext4_write,96.903
ext4_write,96.663
ext4_write,96.581
ext4_write,96.416
ext4_write,96.359
ext4_write,96.336
ext4_write,95.646
ext4_write,95.512
ext4_write,95.344
ext4_write,95.336
ext4_write,94.94
ext4_write,94.822
ext4_write,94.753
ext4_write,94.612
ext4_write,94.476
ext4_write,94.388
ext4_write,94.383
ext4_write,94.27
ext4_write,94.222
ext4_write,94.082
ext4_write,93.988
ext4_write,93.936
ext4_write,93.896
ext4_write,93.896
ext4_write,93.875
ext4_write,93.814
ext4_write,93.775
ext4_write,93.532
ext4_write,93.484
ext4_write,93.392
ext4_write,93.317
ext4_write,93.018
ext4_write,92.952
ext4_write,92.853
ext4_write,92.578
ext4_write,92.403
ext4_write,92.358
ext4_write,92.28
ext4_write,92.189
ext4_write,92.103
ext4_write,92.095
ext4_write,92.056
ext4_write,91.926
ext4_write,91.913
ext4_write,91.789
ext4_write,91.754
ext4_write,91.689
ext4_write,91.609
ext4_write,91.59
ext4_write,91.505
ext4_write,91.298
ext4_write,91.238
ext4_write,91.177
ext4_write,91.1
ext4_write,91.098
ext4_write,91.079
ext4_write,91.009
ext4_write,90.975
ext4_write,90.73
ext4_write,90.713
ext4_write,90.629
ext4_write,90.454
ext4_write,90.399
ext4_write,90.344
ext4_write,90.28
ext4_write,90.238
ext4_write,90.141
ext4_write,90.014
