Summit Latency on All Tests,time (uS)
sealfs_write_video,22898.95
sealfs_write_video,22478.83
sealfs_write_video,21591.53
sealfs_write_video,21392.73
sealfs_write_video,20628.31
sealfs_write_video,20511.74
sealfs_write_video,19601.95
sealfs_write_video,19508.98
sealfs_write_video,19361.42
sealfs_write_video,19295.82
sealfs_write_video,18723.01
sealfs_write_video,18708.33
sealfs_write_video,18658.06
sealfs_write_video,18648.33
sealfs_write_video,18611.18
sealfs_write_video,18462.14
sealfs_write_video,18403.53
sealfs_write_video,18119.38
sealfs_write_video,18020.32
sealfs_write_video,17989.82
sealfs_write_video,17960.89
sealfs_write_video,17933.22
sealfs_write_video,17880.64
sealfs_write_video,17868.88
sealfs_write_video,17859.62
sealfs_write_video,17835.57
sealfs_write_video,17804.26
sealfs_write_video,17760.23
sealfs_write_video,17742.46
sealfs_write_video,17702.22
sealfs_write_video,17673.25
sealfs_write_video,17664.74
sealfs_write_video,17661.6
sealfs_write_video,17637
sealfs_write_video,17618.59
sealfs_write_video,17617.59
sealfs_write_video,17615.36
sealfs_write_video,17604.35
sealfs_write_video,17592.05
sealfs_write_video,17591.46
sealfs_write_video,17586.29
sealfs_write_video,17582.32
sealfs_write_video,17580.06
sealfs_write_video,17577.28
sealfs_write_video,17569.31
sealfs_write_video,17545.04
sealfs_write_video,17540.47
sealfs_write_video,17539.47
sealfs_write_video,17538.91
sealfs_write_video,17532.47
sealfs_write_video,17529.93
sealfs_write_video,17526.35
sealfs_write_video,17524.33
sealfs_write_video,17520.37
sealfs_write_video,17515.75
sealfs_write_video,17513.19
sealfs_write_video,17511.4
sealfs_write_video,17480.44
sealfs_write_video,17474.44
sealfs_write_video,17471.99
sealfs_write_video,17469.11
sealfs_write_video,17458.34
sealfs_write_video,17454.25
sealfs_write_video,17447.18
sealfs_write_video,17446.27
sealfs_write_video,17443.25
sealfs_write_video,17441.25
sealfs_write_video,17440.68
sealfs_write_video,17435.21
sealfs_write_video,17429.13
sealfs_write_video,17416.91
sealfs_write_video,17408.72
sealfs_write_video,17404.37
sealfs_write_video,17393.97
sealfs_write_video,17381.97
sealfs_write_video,17381.8
sealfs_write_video,17381.31
sealfs_write_video,17380.06
sealfs_write_video,17375.99
sealfs_write_video,17370.57
sealfs_write_video,17364.84
sealfs_write_video,17363.94
sealfs_write_video,17360.47
sealfs_write_video,17356.89
sealfs_write_video,17354.57
sealfs_write_video,17349.01
sealfs_write_video,17347.8
sealfs_write_video,17339.99
sealfs_write_video,17334.39
sealfs_write_video,17331.42
sealfs_write_video,17331.06
sealfs_write_video,17329.76
sealfs_write_video,17328.75
sealfs_write_video,17327.58
sealfs_write_video,17325.22
sealfs_write_video,17323.15
sealfs_write_video,17318.62
sealfs_write_video,17316.78
sealfs_write_video,17312.39
sealfs_write_video,17304.99
sealfs_write_video,17303.61
sealfs_write_video,17292.64
sealfs_write_video,17282.65
sealfs_write_video,17281.23
sealfs_write_video,17280.98
sealfs_write_video,17275.03
sealfs_write_video,17273.86
sealfs_write_video,17267.55
sealfs_write_video,17259.99
sealfs_write_video,17256.27
sealfs_write_video,17251.62
sealfs_write_video,17249.8
sealfs_write_video,17242.06
sealfs_write_video,17241.45
sealfs_write_video,17241.04
sealfs_write_video,17241
sealfs_write_video,17240.88
sealfs_write_video,17234.89
sealfs_write_video,17229.84
sealfs_write_video,17229.16
sealfs_write_video,17224.77
sealfs_write_video,17220.78
sealfs_write_video,17215.86
sealfs_write_video,17214.6
sealfs_write_video,17211.17
sealfs_write_video,17210.42
sealfs_write_video,17209.27
sealfs_write_video,17207.67
sealfs_write_video,17205.56
sealfs_write_video,17203.07
sealfs_write_video,17200.54
sealfs_write_video,17199.33
sealfs_write_video,17199.2
sealfs_write_video,17195.65
sealfs_write_video,17193.57
sealfs_write_video,17189.1
sealfs_write_video,17185.09
sealfs_write_video,17183.93
sealfs_write_video,17177.21
sealfs_write_video,17170.47
sealfs_write_video,17170.28
sealfs_write_video,17167.36
sealfs_write_video,17167.06
sealfs_write_video,17166.85
sealfs_write_video,17166.59
sealfs_write_video,17163.09
sealfs_write_video,17159.7
sealfs_write_video,17150.81
sealfs_write_video,17143.07
sealfs_write_video,17137.98
sealfs_write_video,17137.95
sealfs_write_video,17134.89
sealfs_write_video,17134.69
sealfs_write_video,17131.27
sealfs_write_video,17129.96
sealfs_write_video,17123.93
sealfs_write_video,17119
sealfs_write_video,17118.38
sealfs_write_video,17116.06
sealfs_write_video,17113.15
sealfs_write_video,17112.36
sealfs_write_video,17104.76
sealfs_write_video,17104.72
sealfs_write_video,17104.19
sealfs_write_video,17094.55
sealfs_write_video,17094.38
sealfs_write_video,17091.09
sealfs_write_video,17079.82
sealfs_write_video,17079.43
sealfs_write_video,17074.18
sealfs_write_video,17072.8
sealfs_write_video,17066.74
sealfs_write_video,17061.58
sealfs_write_video,17056.45
sealfs_write_video,17056.26
sealfs_write_video,17056
sealfs_write_video,17054.72
sealfs_write_video,17053.05
sealfs_write_video,17050.13
sealfs_write_video,17049.44
sealfs_write_video,17047.96
sealfs_write_video,17046.08
sealfs_write_video,17045.54
sealfs_write_video,17045.32
sealfs_write_video,17042.76
sealfs_write_video,17039.73
sealfs_write_video,17032.43
sealfs_write_video,17032.26
sealfs_write_video,17030.47
sealfs_write_video,17025.31
sealfs_write_video,17017.52
sealfs_write_video,17016.79
sealfs_write_video,17015.04
sealfs_write_video,17014.95
sealfs_write_video,17012.99
sealfs_write_video,17009.69
sealfs_write_video,17008.74
sealfs_write_video,17004.08
sealfs_write_video,17002.08
sealfs_write_video,17001.35
sealfs_write_video,16999.07
sealfs_write_video,16998.09
sealfs_write_video,16995.41
sealfs_write_video,16991.03
sealfs_write_video,16988.02
sealfs_write_video,16984.06
sealfs_write_video,16983.37
sealfs_write_video,16977.86
sealfs_write_video,16958.2
sealfs_write_video,16951.87
sealfs_write_video,16951.25
sealfs_write_video,16947.95
sealfs_write_video,16932.21
sealfs_write_video,16928.17
sealfs_write_video,16920.74
sealfs_write_video,16916.53
sealfs_write_video,16911.58
sealfs_write_video,16893.99
sealfs_write_video,16892.15
sealfs_write_video,16891.49
sealfs_write_video,16887.37
sealfs_write_video,16886.23
sealfs_write_video,16881.6
sealfs_write_video,16879.61
sealfs_write_video,16876.44
sealfs_write_video,16874.66
sealfs_write_video,16871.56
sealfs_write_video,16869.71
sealfs_write_video,16869.26
sealfs_write_video,16861.77
sealfs_write_video,16861.48
sealfs_write_video,16859.12
sealfs_write_video,16857.1
sealfs_write_video,16856.57
sealfs_write_video,16852.55
sealfs_write_video,16844.73
sealfs_write_video,16837.64
sealfs_write_video,16836.82
sealfs_write_video,16835.39
sealfs_write_video,16832.36
sealfs_write_video,16832.34
sealfs_write_video,16830.74
sealfs_write_video,16827.14
sealfs_write_video,16825.83
sealfs_write_video,16823.57
sealfs_write_video,16816.43
sealfs_write_video,16814.4
sealfs_write_video,16809.56
sealfs_write_video,16807.9
sealfs_write_video,16806.22
sealfs_write_video,16802.29
sealfs_write_video,16802.27
sealfs_write_video,16801.91
sealfs_write_video,16796.07
sealfs_write_video,16795.11
sealfs_write_video,16794.01
sealfs_write_video,16790.38
sealfs_write_video,16785.48
sealfs_write_video,16784.68
sealfs_write_video,16784.55
sealfs_write_video,16784.3
sealfs_write_video,16781.75
sealfs_write_video,16777.87
sealfs_write_video,16777.27
sealfs_write_video,16776.37
