Summit Latency on Navigation Test,time (uS)
sealfs_write,148.174
sealfs_write,146.373
sealfs_write,145.079
sealfs_write,139.455
sealfs_write,136.609
sealfs_write,132.756
sealfs_write,132.051
sealfs_write,132.001
sealfs_write,130.603
sealfs_write,130.181
sealfs_write,129.858
sealfs_write,128.703
sealfs_write,127.094
sealfs_write,125.954
sealfs_write,125.014
sealfs_write,124.826
sealfs_write,123.658
sealfs_write,119.746
sealfs_write,117.585
sealfs_write,114.496
sealfs_write,112.662
sealfs_write,110.64
sealfs_write,110.441
sealfs_write,109.41
sealfs_write,108.933
sealfs_write,108.318
sealfs_write,108.051
sealfs_write,107.663
sealfs_write,107.313
sealfs_write,106.107
sealfs_write,105.938
sealfs_write,105.832
sealfs_write,105.73
sealfs_write,105.458
sealfs_write,104.896
sealfs_write,104.348
sealfs_write,103.851
sealfs_write,103.558
sealfs_write,103.388
sealfs_write,102.517
sealfs_write,102.052
sealfs_write,102.032
sealfs_write,101.879
sealfs_write,101.788
sealfs_write,101.786
sealfs_write,101.629
sealfs_write,101.371
sealfs_write,100.93
sealfs_write,100.927
sealfs_write,100.794
sealfs_write,100.507
sealfs_write,100.485
sealfs_write,100.479
sealfs_write,99.926
sealfs_write,99.925
sealfs_write,99.691
sealfs_write,99.529
sealfs_write,99.479
sealfs_write,99.392
sealfs_write,99.193
sealfs_write,99.152
sealfs_write,98.799
sealfs_write,98.785
sealfs_write,98.598
sealfs_write,98.507
sealfs_write,98.498
sealfs_write,98.165
sealfs_write,98.021
sealfs_write,97.951
sealfs_write,97.908
sealfs_write,97.848
sealfs_write,97.725
sealfs_write,97.668
sealfs_write,97.636
sealfs_write,97.371
sealfs_write,97.23
sealfs_write,97.211
sealfs_write,97.167
sealfs_write,97.067
sealfs_write,97.048
sealfs_write,96.946
sealfs_write,96.715
sealfs_write,96.693
sealfs_write,96.63
sealfs_write,96.387
sealfs_write,96.378
sealfs_write,96.357
sealfs_write,96.096
sealfs_write,95.493
sealfs_write,95.309
sealfs_write,95.067
sealfs_write,95.047
sealfs_write,94.926
sealfs_write,94.86
sealfs_write,94.72
sealfs_write,94.659
sealfs_write,94.613
sealfs_write,94.613
sealfs_write,94.538
sealfs_write,94.526
sealfs_write,94.452
sealfs_write,94.356
sealfs_write,94.353
sealfs_write,94.353
sealfs_write,94.208
sealfs_write,94.204
sealfs_write,93.974
sealfs_write,93.937
sealfs_write,93.894
sealfs_write,93.688
sealfs_write,93.657
sealfs_write,93.639
sealfs_write,93.366
sealfs_write,93.348
sealfs_write,93.31
sealfs_write,93.243
sealfs_write,93.211
sealfs_write,93.168
sealfs_write,93.165
sealfs_write,93.109
sealfs_write,93.029
sealfs_write,93.026
sealfs_write,93.013
sealfs_write,92.86
sealfs_write,92.799
sealfs_write,92.717
sealfs_write,92.462
sealfs_write,92.397
sealfs_write,92.36
sealfs_write,92.271
sealfs_write,92.255
sealfs_write,92.096
sealfs_write,92.086
sealfs_write,91.9
sealfs_write,91.85
sealfs_write,91.783
sealfs_write,91.743
sealfs_write,91.721
sealfs_write,91.659
sealfs_write,91.534
sealfs_write,91.501
sealfs_write,91.474
sealfs_write,91.437
sealfs_write,91.417
