Summit Latency on Video Test,time (uS)
ext4_write,1363.485
ext4_write,1366.594
ext4_write,1367.107
ext4_write,1369.122
ext4_write,1369.574
ext4_write,1372.033
ext4_write,1373.124
ext4_write,1374.256
ext4_write,1374.441
ext4_write,1374.81
ext4_write,1375.172
ext4_write,1375.696
ext4_write,1376.414
ext4_write,1376.662
ext4_write,1377.088
ext4_write,1378.476
ext4_write,1378.73
ext4_write,1378.866
ext4_write,1378.991
ext4_write,1379.337
ext4_write,1379.404
ext4_write,1379.531
ext4_write,1379.757
ext4_write,1379.844
ext4_write,1380.236
ext4_write,1380.308
ext4_write,1380.387
ext4_write,1380.453
ext4_write,1381.148
ext4_write,1381.581
ext4_write,1381.764
ext4_write,1381.765
ext4_write,1381.916
ext4_write,1381.925
ext4_write,1381.967
ext4_write,1382.087
ext4_write,1382.103
ext4_write,1382.38
ext4_write,1382.596
ext4_write,1382.77
ext4_write,1382.966
ext4_write,1383.012
ext4_write,1383.087
ext4_write,1383.152
ext4_write,1383.278
ext4_write,1383.407
ext4_write,1383.818
ext4_write,1383.836
ext4_write,1384.029
ext4_write,1384.224
ext4_write,1384.295
ext4_write,1384.398
ext4_write,1384.596
ext4_write,1384.748
ext4_write,1384.782
ext4_write,1384.961
ext4_write,1385.021
ext4_write,1385.249
ext4_write,1385.251
ext4_write,1385.297
ext4_write,1385.35
ext4_write,1385.464
ext4_write,1385.768
ext4_write,1385.77
ext4_write,1385.875
ext4_write,1386.046
ext4_write,1386.237
ext4_write,1386.361
ext4_write,1386.364
ext4_write,1386.614
ext4_write,1386.736
ext4_write,1386.792
ext4_write,1386.831
ext4_write,1386.916
ext4_write,1386.942
ext4_write,1387.013
ext4_write,1387.026
ext4_write,1387.149
ext4_write,1387.191
ext4_write,1387.218
ext4_write,1387.243
ext4_write,1387.427
ext4_write,1387.536
ext4_write,1387.542
ext4_write,1387.566
ext4_write,1387.584
ext4_write,1387.584
ext4_write,1387.599
ext4_write,1387.645
ext4_write,1387.645
ext4_write,1387.668
ext4_write,1388.022
ext4_write,1388.06
ext4_write,1388.123
ext4_write,1388.124
ext4_write,1388.147
ext4_write,1388.271
ext4_write,1388.293
ext4_write,1388.333
ext4_write,1388.336
ext4_write,1388.367
ext4_write,1388.442
ext4_write,1388.485
ext4_write,1388.538
ext4_write,1388.558
ext4_write,1388.682
ext4_write,1388.688
ext4_write,1388.697
ext4_write,1388.733
ext4_write,1388.774
ext4_write,1388.776
ext4_write,1388.941
ext4_write,1388.96
ext4_write,1389.035
ext4_write,1389.038
ext4_write,1389.039
ext4_write,1389.086
ext4_write,1389.125
ext4_write,1389.148
ext4_write,1389.196
ext4_write,1389.238
ext4_write,1389.278
ext4_write,1389.305
ext4_write,1389.367
ext4_write,1389.399
ext4_write,1389.401
ext4_write,1389.417
ext4_write,1389.495
ext4_write,1389.559
ext4_write,1389.564
ext4_write,1389.702
ext4_write,1389.723
ext4_write,1389.741
ext4_write,1389.859
ext4_write,1389.896
ext4_write,1390.055
ext4_write,1390.083
ext4_write,1390.085
ext4_write,1390.117
ext4_write,1390.19
ext4_write,1390.219
ext4_write,1390.224
ext4_write,1390.284
ext4_write,1390.301
ext4_write,1390.336
ext4_write,1390.354
ext4_write,1390.385
ext4_write,1390.614
ext4_write,1390.623
ext4_write,1390.636
ext4_write,1390.669
ext4_write,1390.683
ext4_write,1390.689
ext4_write,1390.921
ext4_write,1390.987
ext4_write,1390.998
ext4_write,1391.002
ext4_write,1391.041
ext4_write,1391.045
ext4_write,1391.074
ext4_write,1391.078
ext4_write,1391.103
ext4_write,1391.136
ext4_write,1391.187
ext4_write,1391.334
ext4_write,1391.341
ext4_write,1391.456
ext4_write,1391.524
ext4_write,1391.525
ext4_write,1391.554
ext4_write,1391.597
ext4_write,1391.619
ext4_write,1391.674
ext4_write,1391.681
ext4_write,1391.817
ext4_write,1391.838
ext4_write,1391.892
ext4_write,1391.961
ext4_write,1391.966
ext4_write,1391.97
ext4_write,1392.024
ext4_write,1392.038
ext4_write,1392.068
ext4_write,1392.073
ext4_write,1392.08
ext4_write,1392.117
ext4_write,1392.172
ext4_write,1392.232
ext4_write,1392.251
ext4_write,1392.285
ext4_write,1392.314
ext4_write,1392.33
ext4_write,1392.417
ext4_write,1392.426
ext4_write,1392.433
ext4_write,1392.474
ext4_write,1392.508
ext4_write,1392.55
ext4_write,1392.573
ext4_write,1392.584
ext4_write,1392.591
ext4_write,1392.593
ext4_write,1392.609
ext4_write,1392.646
ext4_write,1392.69
ext4_write,1392.752
ext4_write,1392.763
ext4_write,1392.885
ext4_write,1392.92
ext4_write,1392.971
ext4_write,1392.974
ext4_write,1393.057
ext4_write,1393.059
ext4_write,1393.07
ext4_write,1393.157
ext4_write,1393.16
ext4_write,1393.213
ext4_write,1393.228
ext4_write,1393.251
ext4_write,1393.262
ext4_write,1393.265
ext4_write,1393.306
ext4_write,1393.311
ext4_write,1393.358
ext4_write,1393.412
ext4_write,1393.54
ext4_write,1393.598
ext4_write,1393.646
ext4_write,1393.679
ext4_write,1393.694
ext4_write,1393.762
ext4_write,1393.787
ext4_write,1393.805
ext4_write,1393.868
ext4_write,1393.933
ext4_write,1393.945
ext4_write,1393.949
ext4_write,1393.963
ext4_write,1393.988
ext4_write,1393.991
ext4_write,1393.999
ext4_write,1394.024
ext4_write,1394.031
ext4_write,1394.034
ext4_write,1394.035
ext4_write,1394.137
ext4_write,1394.173
ext4_write,1394.178
ext4_write,1394.268
ext4_write,1394.291
ext4_write,1394.316
ext4_write,1394.366
ext4_write,1394.377
ext4_write,1394.469
ext4_write,1394.498
ext4_write,1394.544
ext4_write,1394.546
ext4_write,1394.591
ext4_write,1394.593
ext4_write,1394.595
ext4_write,1394.687
ext4_write,1394.732
ext4_write,1394.759
ext4_write,1394.795
ext4_write,1394.833
ext4_write,1394.844
ext4_write,1394.898
ext4_write,1395.017
ext4_write,1395.095
ext4_write,1395.102
ext4_write,1395.112
ext4_write,1395.155
ext4_write,1395.173
ext4_write,1395.192
ext4_write,1395.212
ext4_write,1395.213
ext4_write,1395.261
ext4_write,1395.304
ext4_write,1395.326
ext4_write,1395.337
ext4_write,1395.379
ext4_write,1395.407
ext4_write,1395.422
ext4_write,1395.453
ext4_write,1395.506
ext4_write,1395.531
ext4_write,1395.599
ext4_write,1395.624
ext4_write,1395.657
ext4_write,1395.724
ext4_write,1395.727
ext4_write,1395.737
ext4_write,1395.85
ext4_write,1395.865
ext4_write,1395.866
ext4_write,1395.878
ext4_write,1395.91
ext4_write,1395.951
ext4_write,1395.951
ext4_write,1395.997
ext4_write,1395.998
ext4_write,1396.006
ext4_write,1396.009
ext4_write,1396.022
ext4_write,1396.03
ext4_write,1396.078
ext4_write,1396.095
ext4_write,1396.097
