TiAGO Latency on Audio Test,time (uS)
sealfs_write,293.878
sealfs_write,290.689
sealfs_write,281.066
sealfs_write,278.06
ext4_write,277.732
sealfs_write,271.452
sealfs_write,266.405
sealfs_write,260.438
sealfs_write,252.425
sealfs_write,252.193
sealfs_write,251.62
ext4_write,249.59
sealfs_write,248.903
sealfs_write,247.938
ext4_write,244.394
sealfs_write,244.127
sealfs_write,243.283
sealfs_write,243.053
sealfs_write,242.98
sealfs_write,241.552
sealfs_write,240.998
sealfs_write,239.746
sealfs_write,238.304
sealfs_write,235.569
sealfs_write,230.389
sealfs_write,230.287
sealfs_write,229.853
sealfs_write,227.922
sealfs_write,227.863
sealfs_write,227.663
sealfs_write,227.177
sealfs_write,226.754
sealfs_write,226.12
sealfs_write,226.05
sealfs_write,224.355
sealfs_write,223.349
sealfs_write,222.678
sealfs_write,222.312
sealfs_write,220.063
sealfs_write,219.286
sealfs_write,218.942
sealfs_write,218.41
sealfs_write,217.384
sealfs_write,216.901
sealfs_write,216.891
sealfs_write,216.591
sealfs_write,216.567
sealfs_write,216.513
sealfs_write,214.359
sealfs_write,210.117
sealfs_write,209.652
sealfs_write,208.529
sealfs_write,207.388
sealfs_write,207.156
sealfs_write,205.517
sealfs_write,205.359
sealfs_write,204.45
sealfs_write,203.86
sealfs_write,203.663
sealfs_write,203.311
sealfs_write,203.07
sealfs_write,202.799
sealfs_write,202.619
sealfs_write,201.275
sealfs_write,200.801
sealfs_write,200.631
sealfs_write,200.158
sealfs_write,200.079
sealfs_write,199.097
sealfs_write,198.722
sealfs_write,197.085
sealfs_write,195.976
sealfs_write,195.278
sealfs_write,194.103
sealfs_write,193.719
sealfs_write,193.28
sealfs_write,193.131
sealfs_write,192.645
sealfs_write,192.587
sealfs_write,192.342
sealfs_write,192.079
sealfs_write,192.005
sealfs_write,191.044
sealfs_write,190.827
sealfs_write,190.475
sealfs_write,190.474
sealfs_write,190.157
sealfs_write,189.63
sealfs_write,189.471
sealfs_write,188.593
sealfs_write,188.384
sealfs_write,188.175
sealfs_write,188.163
sealfs_write,187.481
sealfs_write,186.823
sealfs_write,185.907
sealfs_write,185.875
sealfs_write,185.488
sealfs_write,185.438
sealfs_write,184.727
sealfs_write,184.62
sealfs_write,184.534
sealfs_write,184.218
sealfs_write,184.151
sealfs_write,184.069
sealfs_write,183.423
ext4_write,183.353
sealfs_write,183.246
sealfs_write,182.724
