# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 4) + 10.255 us   |  ext4_file_write_iter();
 7) + 18.108 us   |  ext4_file_write_iter();
 5)   7.088 us    |  ext4_file_write_iter();
 3)   8.432 us    |  ext4_file_write_iter();
 ------------------------------------------
 5)  multilo-8699  =>  rs:main-806  
 ------------------------------------------

 5)   5.634 us    |  ext4_file_write_iter();
 3)   8.642 us    |  ext4_file_write_iter();
 3)   4.118 us    |  ext4_file_write_iter();
 2) # 5305.765 us |  ext4_file_write_iter();
 1)   5.369 us    |  ext4_file_write_iter();
 1)   0.628 us    |  ext4_file_write_iter();
 1)   1.358 us    |  ext4_file_write_iter();
 1)   0.466 us    |  ext4_file_write_iter();
 1)   1.130 us    |  ext4_file_write_iter();
 1)   0.478 us    |  ext4_file_write_iter();
 1)   1.159 us    |  ext4_file_write_iter();
 1)   0.478 us    |  ext4_file_write_iter();
 1)   1.583 us    |  ext4_file_write_iter();
 1)   0.473 us    |  ext4_file_write_iter();
 1)   1.139 us    |  ext4_file_write_iter();
 1)   0.473 us    |  ext4_file_write_iter();
 1)   1.076 us    |  ext4_file_write_iter();
 1)   0.470 us    |  ext4_file_write_iter();
 1)   1.122 us    |  ext4_file_write_iter();
 1)   0.489 us    |  ext4_file_write_iter();
 1)   1.080 us    |  ext4_file_write_iter();
 1)   0.470 us    |  ext4_file_write_iter();
 1)   1.057 us    |  ext4_file_write_iter();
 1)   0.465 us    |  ext4_file_write_iter();
 1)   1.096 us    |  ext4_file_write_iter();
 1)   0.465 us    |  ext4_file_write_iter();
 1)   1.063 us    |  ext4_file_write_iter();
 1)   0.471 us    |  ext4_file_write_iter();
 1)   1.122 us    |  ext4_file_write_iter();
 1)   0.465 us    |  ext4_file_write_iter();
 1)   1.512 us    |  ext4_file_write_iter();
 1)   0.720 us    |  ext4_file_write_iter();
 1)   1.401 us    |  ext4_file_write_iter();
 1)   0.709 us    |  ext4_file_write_iter();
 1)   1.534 us    |  ext4_file_write_iter();
 1)   0.492 us    |  ext4_file_write_iter();
 1)   1.079 us    |  ext4_file_write_iter();
 1)   0.470 us    |  ext4_file_write_iter();
 1)   1.156 us    |  ext4_file_write_iter();
 1)   0.467 us    |  ext4_file_write_iter();
 1)   1.081 us    |  ext4_file_write_iter();
 1)   0.491 us    |  ext4_file_write_iter();
 1)   1.146 us    |  ext4_file_write_iter();
 1)   0.468 us    |  ext4_file_write_iter();
 1)   1.025 us    |  ext4_file_write_iter();
 1)   0.468 us    |  ext4_file_write_iter();
 1)   1.048 us    |  ext4_file_write_iter();
 1)   0.467 us    |  ext4_file_write_iter();
 1)   1.133 us    |  ext4_file_write_iter();
 1)   0.480 us    |  ext4_file_write_iter();
 1)   1.204 us    |  ext4_file_write_iter();
 1)   0.470 us    |  ext4_file_write_iter();
 1)   1.383 us    |  ext4_file_write_iter();
 1)   0.467 us    |  ext4_file_write_iter();
 1)   1.100 us    |  ext4_file_write_iter();
 1)   0.459 us    |  ext4_file_write_iter();
 1)   1.069 us    |  ext4_file_write_iter();
 1)   0.476 us    |  ext4_file_write_iter();
 1)   1.076 us    |  ext4_file_write_iter();
 1)   0.462 us    |  ext4_file_write_iter();
 1)   1.025 us    |  ext4_file_write_iter();
 1)   0.476 us    |  ext4_file_write_iter();
 1)   1.108 us    |  ext4_file_write_iter();
 1)   0.466 us    |  ext4_file_write_iter();
 1)   1.678 us    |  ext4_file_write_iter();
 1)   0.502 us    |  ext4_file_write_iter();
 1)   1.143 us    |  ext4_file_write_iter();
 1)   0.470 us    |  ext4_file_write_iter();
 1)   1.076 us    |  ext4_file_write_iter();
 1)   0.466 us    |  ext4_file_write_iter();
 1)   1.369 us    |  ext4_file_write_iter();
 1)   0.471 us    |  ext4_file_write_iter();
 1)   1.093 us    |  ext4_file_write_iter();
 1)   0.473 us    |  ext4_file_write_iter();
 1)   1.139 us    |  ext4_file_write_iter();
 1)   0.472 us    |  ext4_file_write_iter();
 1)   1.037 us    |  ext4_file_write_iter();
 1)   0.469 us    |  ext4_file_write_iter();
 1)   1.261 us    |  ext4_file_write_iter();
 1)   0.480 us    |  ext4_file_write_iter();
 1)   1.084 us    |  ext4_file_write_iter();
 1)   0.465 us    |  ext4_file_write_iter();
 1)   1.107 us    |  ext4_file_write_iter();
