# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1) * 12097.37 us |  sealfs_write [sealfs]();
 1) * 20321.59 us |  sealfs_write [sealfs]();
 1) * 12996.12 us |  sealfs_write [sealfs]();
 1) * 13205.81 us |  sealfs_write [sealfs]();
 1) * 12171.51 us |  sealfs_write [sealfs]();
 5) * 11560.15 us |  sealfs_write [sealfs]();
 5) * 11731.89 us |  sealfs_write [sealfs]();
 5) * 12169.34 us |  sealfs_write [sealfs]();
 5) * 11794.81 us |  sealfs_write [sealfs]();
 5) * 11597.82 us |  sealfs_write [sealfs]();
 1) * 14340.63 us |  sealfs_write [sealfs]();
 5) * 11651.70 us |  sealfs_write [sealfs]();
 5) * 11777.51 us |  sealfs_write [sealfs]();
 5) * 11695.76 us |  sealfs_write [sealfs]();
 5) * 11571.02 us |  sealfs_write [sealfs]();
 5) * 11753.70 us |  sealfs_write [sealfs]();
 4)   2.261 us    |  sealfs_show_options [sealfs]();
 4)   1.049 us    |  sealfs_show_options [sealfs]();
 4)   1.065 us    |  sealfs_show_options [sealfs]();
 4)   1.089 us    |  sealfs_show_options [sealfs]();
 4)   0.684 us    |  sealfs_show_options [sealfs]();
 4)   0.449 us    |  sealfs_show_options [sealfs]();
 4)   0.575 us    |  sealfs_show_options [sealfs]();
 4)   0.703 us    |  sealfs_show_options [sealfs]();
 4)   0.621 us    |  sealfs_show_options [sealfs]();
 4)   0.419 us    |  sealfs_show_options [sealfs]();
 4)   0.569 us    |  sealfs_show_options [sealfs]();
 4)   0.425 us    |  sealfs_show_options [sealfs]();
 4)   0.582 us    |  sealfs_show_options [sealfs]();
 4)   0.422 us    |  sealfs_show_options [sealfs]();
 4)   0.608 us    |  sealfs_show_options [sealfs]();
 4)   0.415 us    |  sealfs_show_options [sealfs]();
 4)   0.589 us    |  sealfs_show_options [sealfs]();
 4)   0.492 us    |  sealfs_show_options [sealfs]();
 4)   0.551 us    |  sealfs_show_options [sealfs]();
 4)   0.463 us    |  sealfs_show_options [sealfs]();
 4)   0.510 us    |  sealfs_show_options [sealfs]();
 4)   0.570 us    |  sealfs_show_options [sealfs]();
 4)   0.665 us    |  sealfs_show_options [sealfs]();
 4)   0.445 us    |  sealfs_show_options [sealfs]();
 4)   0.529 us    |  sealfs_show_options [sealfs]();
 4)   0.488 us    |  sealfs_show_options [sealfs]();
 4)   0.553 us    |  sealfs_show_options [sealfs]();
 4)   0.414 us    |  sealfs_show_options [sealfs]();
 4)   0.573 us    |  sealfs_show_options [sealfs]();
 4)   0.492 us    |  sealfs_show_options [sealfs]();
 4)   0.545 us    |  sealfs_show_options [sealfs]();
 4)   0.419 us    |  sealfs_show_options [sealfs]();
 4)   0.559 us    |  sealfs_show_options [sealfs]();
 4)   0.468 us    |  sealfs_show_options [sealfs]();
 4)   0.557 us    |  sealfs_show_options [sealfs]();
 4)   0.588 us    |  sealfs_show_options [sealfs]();
 3)   2.294 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 1) ros1sea-314283 =>  collect-1284 
 ------------------------------------------

 1)   2.794 us    |  sealfs_statfs [sealfs]();
 5) * 12934.54 us |  sealfs_write [sealfs]();
 5) * 10830.57 us |  sealfs_write [sealfs]();
