# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1) + 43.480 us   |  sealfs_write [sealfs]();
 1) + 88.156 us   |  sealfs_write [sealfs]();
 2) + 36.837 us   |  sealfs_write [sealfs]();
 2) + 77.575 us   |  sealfs_write [sealfs]();
 2) + 50.311 us   |  sealfs_write [sealfs]();
 2) + 79.642 us   |  sealfs_write [sealfs]();
 3) + 34.010 us   |  sealfs_write [sealfs]();
 3) + 80.297 us   |  sealfs_write [sealfs]();
 3) + 39.587 us   |  sealfs_write [sealfs]();
 3) + 77.415 us   |  sealfs_write [sealfs]();
 3) ! 149.009 us  |  sealfs_write [sealfs]();
 3) + 37.228 us   |  sealfs_write [sealfs]();
 3) + 86.684 us   |  sealfs_write [sealfs]();
 3) ! 176.902 us  |  sealfs_write [sealfs]();
 6) + 44.677 us   |  sealfs_write [sealfs]();
 6) + 95.459 us   |  sealfs_write [sealfs]();
 4) ! 168.318 us  |  sealfs_write [sealfs]();
 6) + 48.398 us   |  sealfs_write [sealfs]();
 6) + 69.788 us   |  sealfs_write [sealfs]();
 1) + 45.990 us   |  sealfs_write [sealfs]();
 1) + 81.907 us   |  sealfs_write [sealfs]();
 7) + 33.982 us   |  sealfs_write [sealfs]();
 7) + 76.862 us   |  sealfs_write [sealfs]();
 1) ! 113.533 us  |  sealfs_write [sealfs]();
 0)   1.751 us    |  sealfs_show_options [sealfs]();
 0)   0.609 us    |  sealfs_show_options [sealfs]();
 0)   0.624 us    |  sealfs_show_options [sealfs]();
 0)   0.518 us    |  sealfs_show_options [sealfs]();
 0)   0.621 us    |  sealfs_show_options [sealfs]();
 0)   0.680 us    |  sealfs_show_options [sealfs]();
 0)   0.619 us    |  sealfs_show_options [sealfs]();
 0)   0.427 us    |  sealfs_show_options [sealfs]();
 0)   0.580 us    |  sealfs_show_options [sealfs]();
 0)   0.433 us    |  sealfs_show_options [sealfs]();
 0)   1.738 us    |  sealfs_show_options [sealfs]();
 0)   0.519 us    |  sealfs_show_options [sealfs]();
 0)   0.623 us    |  sealfs_show_options [sealfs]();
 0)   0.680 us    |  sealfs_show_options [sealfs]();
 0)   0.588 us    |  sealfs_show_options [sealfs]();
 0)   0.483 us    |  sealfs_show_options [sealfs]();
 0)   0.639 us    |  sealfs_show_options [sealfs]();
 0)   0.553 us    |  sealfs_show_options [sealfs]();
 0)   0.598 us    |  sealfs_show_options [sealfs]();
 0)   0.534 us    |  sealfs_show_options [sealfs]();
 0)   0.559 us    |  sealfs_show_options [sealfs]();
 0)   0.497 us    |  sealfs_show_options [sealfs]();
 0)   0.594 us    |  sealfs_show_options [sealfs]();
 0)   0.703 us    |  sealfs_show_options [sealfs]();
 0)   0.779 us    |  sealfs_show_options [sealfs]();
 0)   0.622 us    |  sealfs_show_options [sealfs]();
 0)   0.789 us    |  sealfs_show_options [sealfs]();
 0)   0.741 us    |  sealfs_show_options [sealfs]();
 0)   0.993 us    |  sealfs_show_options [sealfs]();
 0)   0.457 us    |  sealfs_show_options [sealfs]();
 0)   0.680 us    |  sealfs_show_options [sealfs]();
 0)   0.500 us    |  sealfs_show_options [sealfs]();
 0)   0.563 us    |  sealfs_show_options [sealfs]();
 0)   0.422 us    |  sealfs_show_options [sealfs]();
 0)   0.709 us    |  sealfs_show_options [sealfs]();
 0)   0.658 us    |  sealfs_show_options [sealfs]();
 1) + 36.210 us   |  sealfs_write [sealfs]();
 1) + 92.923 us   |  sealfs_write [sealfs]();
 1) + 45.763 us   |  sealfs_write [sealfs]();
 1) ! 135.612 us  |  sealfs_write [sealfs]();
 4) + 38.312 us   |  sealfs_write [sealfs]();
 4) ! 126.608 us  |  sealfs_write [sealfs]();
 7) + 42.195 us   |  sealfs_write [sealfs]();
 7) + 79.252 us   |  sealfs_write [sealfs]();
 7) + 38.129 us   |  sealfs_write [sealfs]();
 7) + 82.566 us   |  sealfs_write [sealfs]();
 5) + 46.562 us   |  sealfs_write [sealfs]();
 5) ! 106.643 us  |  sealfs_write [sealfs]();
 5) + 32.911 us   |  sealfs_write [sealfs]();
 5) + 82.160 us   |  sealfs_write [sealfs]();
 5) + 33.710 us   |  sealfs_write [sealfs]();
 5) + 81.802 us   |  sealfs_write [sealfs]();
 2) + 42.849 us   |  sealfs_write [sealfs]();
 2) + 75.197 us   |  sealfs_write [sealfs]();
 2) + 37.996 us   |  sealfs_write [sealfs]();
 2) + 77.752 us   |  sealfs_write [sealfs]();
 2) + 34.779 us   |  sealfs_write [sealfs]();
 2) + 84.276 us   |  sealfs_write [sealfs]();
 5) + 41.794 us   |  sealfs_write [sealfs]();
 5) ! 127.566 us  |  sealfs_write [sealfs]();
 4) + 38.241 us   |  sealfs_write [sealfs]();
 6) + 83.882 us   |  sealfs_write [sealfs]();
 5) + 48.222 us   |  sealfs_write [sealfs]();
 5) + 79.011 us   |  sealfs_write [sealfs]();
 5) + 34.570 us   |  sealfs_write [sealfs]();
 5) + 76.384 us   |  sealfs_write [sealfs]();
 5) + 61.096 us   |  sealfs_write [sealfs]();
 5) ! 105.201 us  |  sealfs_write [sealfs]();
 5) + 95.722 us   |  sealfs_write [sealfs]();
 5) + 33.436 us   |  sealfs_write [sealfs]();
 5) + 80.639 us   |  sealfs_write [sealfs]();
 5) + 33.192 us   |  sealfs_write [sealfs]();
 5) + 77.550 us   |  sealfs_write [sealfs]();
 2) + 52.125 us   |  sealfs_write [sealfs]();
 2) ! 122.865 us  |  sealfs_write [sealfs]();
 3) + 37.264 us   |  sealfs_write [sealfs]();
 3) + 80.053 us   |  sealfs_write [sealfs]();
 6) + 58.598 us   |  sealfs_write [sealfs]();
 6) + 92.117 us   |  sealfs_write [sealfs]();
