# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 5) * 11198.91 us |  sealfs_write [sealfs]();
 5) * 10532.15 us |  sealfs_write [sealfs]();
 5) * 10603.68 us |  sealfs_write [sealfs]();
 5) * 10650.18 us |  sealfs_write [sealfs]();
 5) * 10758.60 us |  sealfs_write [sealfs]();
 5) * 10853.21 us |  sealfs_write [sealfs]();
 5) * 10190.59 us |  sealfs_write [sealfs]();
 0)   2.074 us    |  sealfs_show_options [sealfs]();
 0)   1.114 us    |  sealfs_statfs [sealfs]();
 5) * 10352.71 us |  sealfs_write [sealfs]();
 5) * 10525.80 us |  sealfs_write [sealfs]();
 7) * 10203.88 us |  sealfs_write [sealfs]();
 7) * 10303.31 us |  sealfs_write [sealfs]();
 7) # 9986.951 us |  sealfs_write [sealfs]();
 7) * 10136.19 us |  sealfs_write [sealfs]();
 7) * 10077.74 us |  sealfs_write [sealfs]();
 2)   2.101 us    |  sealfs_show_options [sealfs]();
 2)   0.535 us    |  sealfs_show_options [sealfs]();
 2)   0.612 us    |  sealfs_show_options [sealfs]();
 2)   0.453 us    |  sealfs_show_options [sealfs]();
 2)   0.710 us    |  sealfs_show_options [sealfs]();
 2)   0.487 us    |  sealfs_show_options [sealfs]();
 2)   0.553 us    |  sealfs_show_options [sealfs]();
 2)   0.519 us    |  sealfs_show_options [sealfs]();
 2)   0.568 us    |  sealfs_show_options [sealfs]();
 2)   0.485 us    |  sealfs_show_options [sealfs]();
 2)   0.587 us    |  sealfs_show_options [sealfs]();
 2)   0.383 us    |  sealfs_show_options [sealfs]();
 2)   0.509 us    |  sealfs_show_options [sealfs]();
 2)   0.502 us    |  sealfs_show_options [sealfs]();
 2)   0.616 us    |  sealfs_show_options [sealfs]();
 2)   0.440 us    |  sealfs_show_options [sealfs]();
 2)   0.589 us    |  sealfs_show_options [sealfs]();
 2)   0.457 us    |  sealfs_show_options [sealfs]();
 2)   0.568 us    |  sealfs_show_options [sealfs]();
 2)   0.471 us    |  sealfs_show_options [sealfs]();
 2)   0.536 us    |  sealfs_show_options [sealfs]();
 2)   0.437 us    |  sealfs_show_options [sealfs]();
 2)   0.525 us    |  sealfs_show_options [sealfs]();
 2)   0.566 us    |  sealfs_show_options [sealfs]();
 2)   0.552 us    |  sealfs_show_options [sealfs]();
 2)   0.433 us    |  sealfs_show_options [sealfs]();
 2)   0.682 us    |  sealfs_show_options [sealfs]();
 2)   0.442 us    |  sealfs_show_options [sealfs]();
 2)   0.499 us    |  sealfs_show_options [sealfs]();
 2)   0.616 us    |  sealfs_show_options [sealfs]();
 2)   0.844 us    |  sealfs_show_options [sealfs]();
 2)   0.816 us    |  sealfs_show_options [sealfs]();
 2)   0.795 us    |  sealfs_show_options [sealfs]();
 2)   0.719 us    |  sealfs_show_options [sealfs]();
 2)   0.924 us    |  sealfs_show_options [sealfs]();
 2)   0.840 us    |  sealfs_show_options [sealfs]();
 7) * 10072.04 us |  sealfs_write [sealfs]();
 7) * 10058.86 us |  sealfs_write [sealfs]();
 7) * 10353.13 us |  sealfs_write [sealfs]();
 7) * 10338.82 us |  sealfs_write [sealfs]();
 7) * 10424.53 us |  sealfs_write [sealfs]();
 7) * 10952.93 us |  sealfs_write [sealfs]();
 7) * 10432.40 us |  sealfs_write [sealfs]();
 7) * 11111.30 us |  sealfs_write [sealfs]();
 7) * 11294.20 us |  sealfs_write [sealfs]();
 7) * 11007.92 us |  sealfs_write [sealfs]();
 7) * 10996.36 us |  sealfs_write [sealfs]();
 7) * 11316.09 us |  sealfs_write [sealfs]();
 7) * 11365.83 us |  sealfs_write [sealfs]();
 3) * 11733.23 us |  sealfs_write [sealfs]();
 3) * 10619.72 us |  sealfs_write [sealfs]();
 3) * 10548.94 us |  sealfs_write [sealfs]();
 3) * 10943.89 us |  sealfs_write [sealfs]();
 3) * 10818.76 us |  sealfs_write [sealfs]();
 3) * 10976.48 us |  sealfs_write [sealfs]();
 7) * 10732.49 us |  sealfs_write [sealfs]();
 3) * 10678.32 us |  sealfs_write [sealfs]();
 3) * 11958.28 us |  sealfs_write [sealfs]();
 7) * 11723.48 us |  sealfs_write [sealfs]();
 7) * 11491.62 us |  sealfs_write [sealfs]();
 7) * 11675.93 us |  sealfs_write [sealfs]();
 6)   2.364 us    |  sealfs_show_options [sealfs]();
 6)   0.821 us    |  sealfs_show_options [sealfs]();
 6)   1.157 us    |  sealfs_show_options [sealfs]();
 6)   0.712 us    |  sealfs_show_options [sealfs]();
 6)   0.818 us    |  sealfs_show_options [sealfs]();
 6)   0.495 us    |  sealfs_show_options [sealfs]();
 6)   0.670 us    |  sealfs_show_options [sealfs]();
 6)   0.612 us    |  sealfs_show_options [sealfs]();
 6)   0.620 us    |  sealfs_show_options [sealfs]();
 6)   0.615 us    |  sealfs_show_options [sealfs]();
 6)   0.549 us    |  sealfs_show_options [sealfs]();
