# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2) + 47.977 us   |  sealfs_write [sealfs]();
 2) + 73.834 us   |  sealfs_write [sealfs]();
 4) + 35.280 us   |  sealfs_write [sealfs]();
 4) + 74.144 us   |  sealfs_write [sealfs]();
 4) ! 105.792 us  |  sealfs_write [sealfs]();
 4) + 77.930 us   |  sealfs_write [sealfs]();
 5) + 51.147 us   |  sealfs_write [sealfs]();
 5) ! 120.152 us  |  sealfs_write [sealfs]();
 6) ! 798.954 us  |  sealfs_write [sealfs]();
 6) + 78.018 us   |  sealfs_write [sealfs]();
 3) + 37.990 us   |  sealfs_write [sealfs]();
 3) + 77.141 us   |  sealfs_write [sealfs]();
 5) + 36.631 us   |  sealfs_write [sealfs]();
 5) + 80.160 us   |  sealfs_write [sealfs]();
 5) + 37.739 us   |  sealfs_write [sealfs]();
 5) + 78.414 us   |  sealfs_write [sealfs]();
 5) + 38.431 us   |  sealfs_write [sealfs]();
 5) + 93.498 us   |  sealfs_write [sealfs]();
 5) + 37.225 us   |  sealfs_write [sealfs]();
 5) + 83.744 us   |  sealfs_write [sealfs]();
 1) + 47.305 us   |  sealfs_write [sealfs]();
 1) + 80.376 us   |  sealfs_write [sealfs]();
 1) + 36.710 us   |  sealfs_write [sealfs]();
 1) + 74.244 us   |  sealfs_write [sealfs]();
 1) + 36.982 us   |  sealfs_write [sealfs]();
 1) + 94.663 us   |  sealfs_write [sealfs]();
 2) ! 112.433 us  |  sealfs_write [sealfs]();
 2) ! 144.862 us  |  sealfs_write [sealfs]();
 7)   2.227 us    |  sealfs_show_options [sealfs]();
 7)   0.879 us    |  sealfs_show_options [sealfs]();
 7)   0.925 us    |  sealfs_show_options [sealfs]();
 7)   0.650 us    |  sealfs_show_options [sealfs]();
 7)   0.737 us    |  sealfs_show_options [sealfs]();
 7)   0.589 us    |  sealfs_show_options [sealfs]();
 7)   0.721 us    |  sealfs_show_options [sealfs]();
 7)   0.579 us    |  sealfs_show_options [sealfs]();
 7)   0.763 us    |  sealfs_show_options [sealfs]();
 7)   0.637 us    |  sealfs_show_options [sealfs]();
 7)   0.732 us    |  sealfs_show_options [sealfs]();
 7)   0.811 us    |  sealfs_show_options [sealfs]();
 7)   0.672 us    |  sealfs_show_options [sealfs]();
 7)   0.650 us    |  sealfs_show_options [sealfs]();
 7)   1.052 us    |  sealfs_show_options [sealfs]();
 7)   0.527 us    |  sealfs_show_options [sealfs]();
 7)   0.876 us    |  sealfs_show_options [sealfs]();
 7)   0.611 us    |  sealfs_show_options [sealfs]();
 7)   0.769 us    |  sealfs_show_options [sealfs]();
 7)   0.685 us    |  sealfs_show_options [sealfs]();
 7)   0.787 us    |  sealfs_show_options [sealfs]();
 7)   0.560 us    |  sealfs_show_options [sealfs]();
 7)   0.779 us    |  sealfs_show_options [sealfs]();
 7)   0.654 us    |  sealfs_show_options [sealfs]();
 7)   0.767 us    |  sealfs_show_options [sealfs]();
 7)   0.589 us    |  sealfs_show_options [sealfs]();
 7)   0.770 us    |  sealfs_show_options [sealfs]();
 7)   0.601 us    |  sealfs_show_options [sealfs]();
 7)   0.669 us    |  sealfs_show_options [sealfs]();
 7)   0.591 us    |  sealfs_show_options [sealfs]();
 7)   0.740 us    |  sealfs_show_options [sealfs]();
 7)   0.558 us    |  sealfs_show_options [sealfs]();
 7)   0.652 us    |  sealfs_show_options [sealfs]();
 7)   0.561 us    |  sealfs_show_options [sealfs]();
 7)   0.729 us    |  sealfs_show_options [sealfs]();
 7)   0.650 us    |  sealfs_show_options [sealfs]();
 3) + 36.811 us   |  sealfs_write [sealfs]();
 3) + 81.049 us   |  sealfs_write [sealfs]();
 3) + 34.265 us   |  sealfs_write [sealfs]();
 3) + 76.080 us   |  sealfs_write [sealfs]();
 3) ! 101.256 us  |  sealfs_write [sealfs]();
 4) + 35.424 us   |  sealfs_write [sealfs]();
 4) + 87.664 us   |  sealfs_write [sealfs]();
 4) + 43.547 us   |  sealfs_write [sealfs]();
 4) + 81.212 us   |  sealfs_write [sealfs]();
 4) + 35.498 us   |  sealfs_write [sealfs]();
 4) + 91.314 us   |  sealfs_write [sealfs]();
 6) ! 112.895 us  |  sealfs_write [sealfs]();
 6) + 40.812 us   |  sealfs_write [sealfs]();
 6) + 96.336 us   |  sealfs_write [sealfs]();
 5) + 96.992 us   |  sealfs_write [sealfs]();
 3) + 52.970 us   |  sealfs_write [sealfs]();
 3) ! 140.006 us  |  sealfs_write [sealfs]();
 6) + 35.897 us   |  sealfs_write [sealfs]();
 6) + 72.788 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 2) ros1sea-529272 =>  collect-1283 
 ------------------------------------------

 2)   2.852 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 3) ros1sea-529272 =>  collect-1283 
 ------------------------------------------

 3)   1.888 us    |  sealfs_statfs [sealfs]();
 5) + 54.165 us   |  sealfs_write [sealfs]();
 5) ! 119.572 us  |  sealfs_write [sealfs]();
 6) ! 105.014 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 7)  <...>-529770  => ros1sea-529272
 ------------------------------------------

 7) + 50.282 us   |  sealfs_write [sealfs]();
 7) ! 114.046 us  |  sealfs_write [sealfs]();
 1) + 34.300 us   |  sealfs_write [sealfs]();
 1) + 87.079 us   |  sealfs_write [sealfs]();
 0) + 93.533 us   |  sealfs_write [sealfs]();
 0) + 39.292 us   |  sealfs_write [sealfs]();
 0) ! 162.021 us  |  sealfs_write [sealfs]();
