# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1) ! 103.863 us  |  sealfs_write [sealfs]();
 1) + 43.702 us   |  sealfs_write [sealfs]();
 1) + 82.478 us   |  sealfs_write [sealfs]();
 0)   2.478 us    |  sealfs_show_options [sealfs]();
 0)   0.624 us    |  sealfs_show_options [sealfs]();
 0)   0.620 us    |  sealfs_show_options [sealfs]();
 0)   0.526 us    |  sealfs_show_options [sealfs]();
 0)   0.565 us    |  sealfs_show_options [sealfs]();
 0)   0.387 us    |  sealfs_show_options [sealfs]();
 0)   0.509 us    |  sealfs_show_options [sealfs]();
 0)   0.449 us    |  sealfs_show_options [sealfs]();
 0)   0.553 us    |  sealfs_show_options [sealfs]();
 0)   0.462 us    |  sealfs_show_options [sealfs]();
 0)   0.681 us    |  sealfs_show_options [sealfs]();
 0)   0.618 us    |  sealfs_show_options [sealfs]();
 0)   0.540 us    |  sealfs_show_options [sealfs]();
 0)   0.402 us    |  sealfs_show_options [sealfs]();
 0)   0.570 us    |  sealfs_show_options [sealfs]();
 0)   0.421 us    |  sealfs_show_options [sealfs]();
 0)   0.764 us    |  sealfs_show_options [sealfs]();
 0)   0.455 us    |  sealfs_show_options [sealfs]();
 0)   0.493 us    |  sealfs_show_options [sealfs]();
 0)   0.416 us    |  sealfs_show_options [sealfs]();
 0)   0.522 us    |  sealfs_show_options [sealfs]();
 0)   0.417 us    |  sealfs_show_options [sealfs]();
 0)   0.519 us    |  sealfs_show_options [sealfs]();
 0)   0.506 us    |  sealfs_show_options [sealfs]();
 0)   0.488 us    |  sealfs_show_options [sealfs]();
 0)   0.522 us    |  sealfs_show_options [sealfs]();
 0)   0.561 us    |  sealfs_show_options [sealfs]();
 0)   0.482 us    |  sealfs_show_options [sealfs]();
 0)   0.489 us    |  sealfs_show_options [sealfs]();
 0)   0.399 us    |  sealfs_show_options [sealfs]();
 0)   0.522 us    |  sealfs_show_options [sealfs]();
 0)   0.373 us    |  sealfs_show_options [sealfs]();
 0)   0.484 us    |  sealfs_show_options [sealfs]();
 0)   0.631 us    |  sealfs_show_options [sealfs]();
 0)   0.601 us    |  sealfs_show_options [sealfs]();
 0)   0.379 us    |  sealfs_show_options [sealfs]();
 1) + 45.644 us   |  sealfs_write [sealfs]();
 1) ! 131.159 us  |  sealfs_write [sealfs]();
 1) + 40.244 us   |  sealfs_write [sealfs]();
 1) + 89.478 us   |  sealfs_write [sealfs]();
 4) + 35.374 us   |  sealfs_write [sealfs]();
 4) + 78.853 us   |  sealfs_write [sealfs]();
 2) + 48.642 us   |  sealfs_write [sealfs]();
 2) + 79.924 us   |  sealfs_write [sealfs]();
 1) + 34.993 us   |  sealfs_write [sealfs]();
 1) + 76.635 us   |  sealfs_write [sealfs]();
 4) + 32.604 us   |  sealfs_write [sealfs]();
 4) + 77.064 us   |  sealfs_write [sealfs]();
 4) + 40.037 us   |  sealfs_write [sealfs]();
 4) + 73.486 us   |  sealfs_write [sealfs]();
 6) + 35.836 us   |  sealfs_write [sealfs]();
 6) + 84.449 us   |  sealfs_write [sealfs]();
 7) ! 102.013 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 0) (openvp-551839 => ros1sea-551314
 ------------------------------------------

 0) + 42.782 us   |  sealfs_write [sealfs]();
 0) + 78.581 us   |  sealfs_write [sealfs]();
 7) + 51.870 us   |  sealfs_write [sealfs]();
 7) + 96.045 us   |  sealfs_write [sealfs]();
 7) + 37.044 us   |  sealfs_write [sealfs]();
 7) + 87.524 us   |  sealfs_write [sealfs]();
 1) + 41.125 us   |  sealfs_write [sealfs]();
 1) ! 100.155 us  |  sealfs_write [sealfs]();
 1) + 42.594 us   |  sealfs_write [sealfs]();
 1) ! 102.372 us  |  sealfs_write [sealfs]();
 1) ! 113.971 us  |  sealfs_write [sealfs]();
 1) + 34.860 us   |  sealfs_write [sealfs]();
 1) + 98.263 us   |  sealfs_write [sealfs]();
 3) + 99.265 us   |  sealfs_write [sealfs]();
 3) + 35.748 us   |  sealfs_write [sealfs]();
 3) + 72.366 us   |  sealfs_write [sealfs]();
 5) ! 108.280 us  |  sealfs_write [sealfs]();
 5) + 39.179 us   |  sealfs_write [sealfs]();
 5) + 78.354 us   |  sealfs_write [sealfs]();
 5) + 37.769 us   |  sealfs_write [sealfs]();
 5) + 72.514 us   |  sealfs_write [sealfs]();
 5) + 38.649 us   |  sealfs_write [sealfs]();
 5) + 82.486 us   |  sealfs_write [sealfs]();
 3) ! 141.741 us  |  sealfs_write [sealfs]();
 7) ! 124.360 us  |  sealfs_write [sealfs]();
 1) + 38.577 us   |  sealfs_write [sealfs]();
 1) + 76.645 us   |  sealfs_write [sealfs]();
 1) + 35.549 us   |  sealfs_write [sealfs]();
 1) + 76.764 us   |  sealfs_write [sealfs]();
 3) + 35.296 us   |  sealfs_write [sealfs]();
 3) + 88.312 us   |  sealfs_write [sealfs]();
 6) + 38.941 us   |  sealfs_write [sealfs]();
 6) + 74.343 us   |  sealfs_write [sealfs]();
 6) + 34.737 us   |  sealfs_write [sealfs]();
 6) + 75.839 us   |  sealfs_write [sealfs]();
 3) + 34.492 us   |  sealfs_write [sealfs]();
 3) + 73.080 us   |  sealfs_write [sealfs]();
 3) + 38.640 us   |  sealfs_write [sealfs]();
 3) + 77.972 us   |  sealfs_write [sealfs]();
 3) + 45.912 us   |  sealfs_write [sealfs]();
 3) + 71.889 us   |  sealfs_write [sealfs]();
 3) + 46.285 us   |  sealfs_write [sealfs]();
 3) ! 127.062 us  |  sealfs_write [sealfs]();
 1) + 45.780 us   |  sealfs_write [sealfs]();
 1) ! 129.477 us  |  sealfs_write [sealfs]();
 6) + 35.723 us   |  sealfs_write [sealfs]();
 6) + 76.080 us   |  sealfs_write [sealfs]();
 6) + 35.167 us   |  sealfs_write [sealfs]();
 6) + 78.292 us   |  sealfs_write [sealfs]();
 4) ! 110.701 us  |  sealfs_write [sealfs]();
 ------------------------------------------
 7) ros1sea-551314 =>  collect-1282 
 ------------------------------------------

 7)   6.494 us    |  sealfs_show_options [sealfs]();
 7)   1.761 us    |  sealfs_statfs [sealfs]();
 0) + 35.224 us   |  sealfs_write [sealfs]();
 0) + 71.442 us   |  sealfs_write [sealfs]();
 5) ! 101.476 us  |  sealfs_write [sealfs]();
 5) + 37.489 us   |  sealfs_write [sealfs]();
 5) + 86.842 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 7)  collect-1282  => ros1sea-551314
 ------------------------------------------

 7) + 39.035 us   |  sealfs_write [sealfs]();
 7) + 84.647 us   |  sealfs_write [sealfs]();
 7) + 36.990 us   |  sealfs_write [sealfs]();
 7) + 75.506 us   |  sealfs_write [sealfs]();
 0) + 57.376 us   |  sealfs_write [sealfs]();
 0) ! 130.807 us  |  sealfs_write [sealfs]();
 1) ! 119.475 us  |  sealfs_write [sealfs]();
 1) + 45.971 us   |  sealfs_write [sealfs]();
 1) + 83.917 us   |  sealfs_write [sealfs]();
 0) + 36.215 us   |  sealfs_write [sealfs]();
 0) + 74.616 us   |  sealfs_write [sealfs]();
 0) ! 143.179 us  |  sealfs_write [sealfs]();
 0) + 78.453 us   |  sealfs_write [sealfs]();
 0) + 43.647 us   |  sealfs_write [sealfs]();
 0) + 75.954 us   |  sealfs_write [sealfs]();
 0) + 47.855 us   |  sealfs_write [sealfs]();
 0) + 79.969 us   |  sealfs_write [sealfs]();
 0) + 35.024 us   |  sealfs_write [sealfs]();
 0) + 75.803 us   |  sealfs_write [sealfs]();
 0) + 41.935 us   |  sealfs_write [sealfs]();
 0) + 92.258 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 1) ros1sea-551314 =>  <...>-552351 
 ------------------------------------------

 1)   2.602 us    |  sealfs_show_options [sealfs]();
 1)   0.728 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 2) ros1sea-551314 =>  <...>-552351 
 ------------------------------------------

 2)   1.287 us    |  sealfs_show_options [sealfs]();
 2)   0.647 us    |  sealfs_show_options [sealfs]();
 2)   0.758 us    |  sealfs_show_options [sealfs]();
 2)   0.964 us    |  sealfs_show_options [sealfs]();
 2)   0.721 us    |  sealfs_show_options [sealfs]();
 2)   0.682 us    |  sealfs_show_options [sealfs]();
