Throughput on Video Test,Bandwidth (kB/s)
summit_sealfs,10378.17
summit_sealfs,10376.48
summit_sealfs,10376.39
summit_sealfs,10374.74
summit_sealfs,10374.5
summit_sealfs,10374.05
summit_sealfs,10373.16
summit_sealfs,10372.83
summit_sealfs,10372.39
summit_sealfs,10372.11
summit_sealfs,10372.08
summit_sealfs,10371.9
summit_sealfs,10371.19
summit_sealfs,10370.05
summit_sealfs,10369.01
summit_sealfs,10368.65
summit_sealfs,10368.58
summit_sealfs,10368.4
summit_sealfs,10368.28
summit_sealfs,10368.16
summit_sealfs,10367.99
summit_sealfs,10367.9
summit_sealfs,10367.13
summit_sealfs,10367.06
summit_sealfs,10367.02
summit_sealfs,10366.92
summit_sealfs,10366.89
summit_sealfs,10366.34
summit_sealfs,10365.67
summit_sealfs,10364.37
summit_sealfs,10364.03
summit_sealfs,10363.81
summit_sealfs,10363.75
summit_sealfs,10363.69
summit_sealfs,10363.6
summit_sealfs,10363.36
summit_sealfs,10363.14
summit_sealfs,10362.97
summit_sealfs,10362.73
summit_sealfs,10362.53
summit_sealfs,10361.91
summit_sealfs,10361.69
summit_sealfs,10360.68
summit_sealfs,10360.5
summit_sealfs,10360.43
summit_sealfs,10360.28
summit_sealfs,10359.58
summit_sealfs,10359.03
summit_sealfs,10358.37
summit_sealfs,10357.93
summit_sealfs,10357.55
summit_sealfs,10357.4
summit_sealfs,10356.93
summit_sealfs,10356.67
summit_sealfs,10356.42
summit_sealfs,10355.95
summit_sealfs,10355.02
summit_sealfs,10353.39
summit_sealfs,10353.39
summit_sealfs,10353.13
summit_sealfs,10350.42
summit_sealfs,10350.26
summit_sealfs,10349.81
summit_sealfs,10349.77
summit_sealfs,10349.27
summit_sealfs,10348.41
summit_sealfs,10348.15
summit_sealfs,10347.95
summit_sealfs,10346.79
summit_sealfs,10346.74
summit_sealfs,10346.68
summit_sealfs,10346.25
summit_sealfs,10346.23
summit_sealfs,10345.88
summit_sealfs,10345.84
summit_sealfs,10344.46
summit_sealfs,10343.96
summit_sealfs,10343.95
summit_sealfs,10343.19
summit_sealfs,10342.21
summit_sealfs,10342.17
summit_sealfs,10342.05
summit_sealfs,10342.04
summit_sealfs,10341.79
summit_sealfs,10341.41
summit_sealfs,10341.4
summit_sealfs,10340.76
summit_sealfs,10340.55
summit_sealfs,10340.46
summit_sealfs,10340.39
summit_sealfs,10340.25
summit_sealfs,10340.12
summit_sealfs,10340.06
summit_sealfs,10339.92
summit_sealfs,10339.78
summit_sealfs,10339.64
summit_sealfs,10339.62
summit_sealfs,10339.13
summit_sealfs,10339.1
summit_sealfs,10338.81
summit_sealfs,10338.41
summit_sealfs,10338.2
summit_sealfs,10338.2
summit_sealfs,10338.19
summit_sealfs,10338.16
summit_sealfs,10338.13
summit_sealfs,10337.6
summit_sealfs,10337.26
summit_sealfs,10337.21
summit_sealfs,10337.02
summit_sealfs,10336.88
summit_sealfs,10336.76
summit_sealfs,10336.71
summit_sealfs,10336.58
summit_sealfs,10336.25
summit_sealfs,10336.12
summit_sealfs,10336.06
summit_sealfs,10335.65
summit_sealfs,10335.53
summit_sealfs,10335.44
summit_sealfs,10335.33
summit_sealfs,10335.28
summit_sealfs,10335.23
summit_sealfs,10335.19
summit_sealfs,10334.86
summit_sealfs,10334.59
summit_ext4,10334.54
summit_ext4,10334.41
summit_sealfs,10334.36
summit_sealfs,10334.13
summit_sealfs,10334.11
summit_sealfs,10333.8
summit_sealfs,10333.68
summit_sealfs,10333.67
summit_sealfs,10333.66
summit_sealfs,10333.59
