Summit Throughtput on All Tests,Bandwidth (kB/s)
sealfs_video,10378.17
sealfs_video,10376.48
sealfs_video,10376.39
sealfs_video,10374.74
sealfs_video,10374.5
sealfs_video,10374.05
sealfs_video,10373.16
sealfs_video,10372.83
sealfs_video,10372.39
sealfs_video,10372.11
sealfs_video,10372.08
sealfs_video,10371.9
sealfs_video,10371.19
sealfs_video,10370.05
sealfs_video,10369.01
sealfs_video,10368.65
sealfs_video,10368.58
sealfs_video,10368.4
sealfs_video,10368.28
sealfs_video,10368.16
sealfs_video,10367.99
sealfs_video,10367.9
sealfs_video,10367.13
sealfs_video,10367.06
sealfs_video,10367.02
sealfs_video,10366.92
sealfs_video,10366.89
sealfs_video,10366.34
sealfs_video,10365.67
sealfs_video,10364.37
sealfs_video,10364.03
sealfs_video,10363.81
sealfs_video,10363.75
sealfs_video,10363.69
sealfs_video,10363.6
sealfs_video,10363.36
sealfs_video,10363.14
sealfs_video,10362.97
sealfs_video,10362.73
sealfs_video,10362.53
sealfs_video,10361.91
sealfs_video,10361.69
sealfs_video,10360.68
sealfs_video,10360.5
sealfs_video,10360.43
sealfs_video,10360.28
sealfs_video,10359.58
sealfs_video,10359.03
sealfs_video,10358.37
sealfs_video,10357.93
sealfs_video,10357.55
sealfs_video,10357.4
sealfs_video,10356.93
sealfs_video,10356.67
sealfs_video,10356.42
sealfs_video,10355.95
sealfs_video,10355.02
sealfs_video,10353.39
sealfs_video,10353.39
sealfs_video,10353.13
sealfs_video,10350.42
sealfs_video,10350.26
sealfs_video,10349.81
sealfs_video,10349.77
sealfs_video,10349.27
sealfs_video,10348.41
sealfs_video,10348.15
sealfs_video,10347.95
sealfs_video,10346.79
sealfs_video,10346.74
sealfs_video,10346.68
sealfs_video,10346.25
sealfs_video,10346.23
sealfs_video,10345.88
sealfs_video,10345.84
sealfs_video,10344.46
sealfs_video,10343.96
sealfs_video,10343.95
sealfs_video,10343.19
sealfs_video,10342.21
sealfs_video,10342.17
sealfs_video,10342.05
sealfs_video,10342.04
sealfs_video,10341.79
sealfs_video,10341.41
sealfs_video,10341.4
sealfs_video,10340.76
sealfs_video,10340.55
sealfs_video,10340.46
sealfs_video,10340.39
sealfs_video,10340.25
sealfs_video,10340.12
sealfs_video,10340.06
sealfs_video,10339.92
sealfs_video,10339.78
sealfs_video,10339.64
sealfs_video,10339.62
sealfs_video,10339.13
sealfs_video,10339.1
sealfs_video,10338.81
sealfs_video,10338.41
sealfs_video,10338.2
sealfs_video,10338.2
sealfs_video,10338.19
sealfs_video,10338.16
sealfs_video,10338.13
sealfs_video,10337.6
sealfs_video,10337.26
sealfs_video,10337.21
sealfs_video,10337.02
sealfs_video,10336.88
sealfs_video,10336.76
sealfs_video,10336.71
sealfs_video,10336.58
sealfs_video,10336.25
sealfs_video,10336.12
sealfs_video,10336.06
sealfs_video,10335.65
sealfs_video,10335.53
sealfs_video,10335.44
sealfs_video,10335.33
sealfs_video,10335.28
sealfs_video,10335.23
sealfs_video,10335.19
sealfs_video,10334.86
sealfs_video,10334.59
ext4_video,10334.54
ext4_video,10334.41
sealfs_video,10334.36
sealfs_video,10334.13
sealfs_video,10334.11
sealfs_video,10333.8
sealfs_video,10333.68
sealfs_video,10333.67
sealfs_video,10333.66
sealfs_video,10333.59
sealfs_video,10333.54
sealfs_video,10333.51
sealfs_video,10333.5
sealfs_video,10333.45
sealfs_video,10333.36
sealfs_video,10333.09
sealfs_video,10332.88
sealfs_video,10332.87
sealfs_video,10332.78
sealfs_video,10332.62
ext4_video,10332.55
sealfs_video,10332.03
sealfs_video,10331.91
sealfs_video,10331.81
sealfs_video,10331.67
sealfs_video,10331.67
sealfs_video,10331.54
sealfs_video,10331.17
sealfs_video,10331.14
sealfs_video,10331.06
sealfs_video,10331
sealfs_video,10330.84
sealfs_video,10330.63
sealfs_video,10330.49
sealfs_video,10330.19
sealfs_video,10330.14
sealfs_video,10330.08
sealfs_video,10330.08
sealfs_video,10329.88
sealfs_video,10329.86
sealfs_video,10329.71
sealfs_video,10329.63
sealfs_video,10329.58
sealfs_video,10329.48
sealfs_video,10329.44
sealfs_video,10329.25
sealfs_video,10329.14
sealfs_video,10329.04
sealfs_video,10329.03
sealfs_video,10328.91
sealfs_video,10328.88
sealfs_video,10328.82
sealfs_video,10328.51
sealfs_video,10327.9
sealfs_video,10327.65
sealfs_video,10327.53
sealfs_video,10327.45
sealfs_video,10327.3
sealfs_video,10326.93
sealfs_video,10326.91
sealfs_video,10326.91
sealfs_video,10326.84
ext4_video,10326.81
sealfs_video,10326.61
ext4_video,10326.6
sealfs_video,10326.57
sealfs_video,10326.53
ext4_video,10326.27
sealfs_video,10325.91
sealfs_video,10325.74
sealfs_video,10325.54
ext4_video,10325.36
sealfs_video,10325.25
sealfs_video,10325.05
sealfs_video,10324.83
sealfs_video,10324.83
sealfs_video,10324.78
sealfs_video,10324.66
ext4_video,10324.49
sealfs_video,10324.36
sealfs_video,10324.16
sealfs_video,10324.11
sealfs_video,10324.01
ext4_video,10323.89
sealfs_video,10323.83
sealfs_video,10323.82
sealfs_video,10323.53
sealfs_video,10323.51
sealfs_video,10323.31
ext4_video,10323.22
sealfs_video,10322.73
sealfs_video,10322.63
sealfs_video,10322.41
ext4_video,10321.91
ext4_video,10321.87
sealfs_video,10321.85
ext4_video,10321.84
sealfs_video,10321.76
sealfs_video,10321.72
sealfs_video,10321.64
ext4_video,10321.57
sealfs_video,10321.32
ext4_video,10321.29
ext4_video,10320.97
sealfs_video,10320.65
sealfs_video,10320.62
sealfs_video,10320.3
sealfs_video,10319.72
ext4_video,10319.6
sealfs_video,10319.56
ext4_video,10319.47
ext4_video,10319.46
ext4_video,10319.43
sealfs_video,10319.42
sealfs_video,10318.59
ext4_video,10318.52
