Summit Bandwidth on Navigation Test,bandwidth (kB/s)
ext4,7.67
ext4,15.44
ext4,7.72
ext4,15.44
ext4,7.72
ext4,15.44
ext4,7.72
ext4,11.5
ext4,7.65
ext4,15.36
ext4,7.69
ext4,15.38
ext4,7.69
ext4,15.37
ext4,15.4
ext4,7.69
ext4,7.69
ext4,15.38
ext4,15.43
ext4,7.72
ext4,15.32
ext4,7.66
ext4,15.43
ext4,7.65
ext4,11.57
ext4,7.72
ext4,15.43
ext4,7.72
ext4,15.45
ext4,19.31
ext4,7.69
ext4,7.73
ext4,15.44
ext4,15.37
ext4,7.68
ext4,15.38
ext4,7.72
ext4,15.45
ext4,7.71
ext4,15.41
ext4,7.68
ext4,11.58
ext4,7.7
ext4,15.37
ext4,7.71
ext4,15.44
ext4,15.31
ext4,7.65
ext4,7.65
ext4,15.32
ext4,15.34
ext4,7.68
ext4,15.3
ext4,7.66
ext4,15.44
ext4,7.69
ext4,11.58
ext4,7.65
ext4,15.29
ext4,7.63
ext4,15.3
ext4,7.67
ext4,15.44
ext4,7.72
ext4,15.44
ext4,15.44
ext4,7.72
ext4,7.73
ext4,15.44
ext4,7.71
ext4,15.44
ext4,7.72
ext4,15.46
ext4,7.73
ext4,15.44
ext4,19.28
ext4,7.73
ext4,7.72
ext4,15.45
ext4,11.59
ext4,7.7
ext4,15.46
ext4,7.73
ext4,15.45
ext4,7.72
ext4,15.43
ext4,7.72
ext4,15.44
ext4,7.73
ext4,15.45
ext4,15.44
ext4,7.73
ext4,15.44
ext4,7.73
ext4,15.44
ext4,7.68
ext4,15.46
ext4,7.72
ext4,15.44
ext4,3.86
ext4,15.44
ext4,7.73
ext4,15.47
ext4,7.73
ext4,15.42
ext4,7.73
ext4,15.43
ext4,15.45
ext4,7.72
ext4,15.44
ext4,7.72
ext4,11.6
ext4,7.72
ext4,15.45
ext4,7.72
ext4,15.44
ext4,7.72
ext4,15.44
ext4,7.72
ext4,15.44
ext4,7.72
ext4,15.42
ext4,15.46
ext4,7.72
ext4,15.44
ext4,7.72
ext4,15.43
ext4,7.71
ext4,15.45
ext4,7.72
ext4,11.57
ext4,7.72
ext4,19.23
