Summit Throughtput on Video Test,Bandwidth (kB/s)
sealfs,10378.17
sealfs,10376.48
sealfs,10376.39
sealfs,10374.74
sealfs,10374.5
sealfs,10374.05
sealfs,10373.16
sealfs,10372.83
sealfs,10372.39
sealfs,10372.11
sealfs,10372.08
sealfs,10371.9
sealfs,10371.19
sealfs,10370.05
sealfs,10369.01
sealfs,10368.65
sealfs,10368.58
sealfs,10368.4
sealfs,10368.28
sealfs,10368.16
sealfs,10367.99
sealfs,10367.9
sealfs,10367.13
sealfs,10367.06
sealfs,10367.02
sealfs,10366.92
sealfs,10366.89
sealfs,10366.34
sealfs,10365.67
sealfs,10364.37
sealfs,10364.03
sealfs,10363.81
sealfs,10363.75
sealfs,10363.69
sealfs,10363.6
sealfs,10363.36
sealfs,10363.14
sealfs,10362.97
sealfs,10362.73
sealfs,10362.53
sealfs,10361.91
sealfs,10361.69
sealfs,10360.68
sealfs,10360.5
sealfs,10360.43
sealfs,10360.28
sealfs,10359.58
sealfs,10359.03
sealfs,10358.37
sealfs,10357.93
sealfs,10357.55
sealfs,10357.4
sealfs,10356.93
sealfs,10356.67
sealfs,10356.42
sealfs,10355.95
sealfs,10355.02
sealfs,10353.39
sealfs,10353.39
sealfs,10353.13
sealfs,10350.42
sealfs,10350.26
sealfs,10349.81
sealfs,10349.77
sealfs,10349.27
sealfs,10348.41
sealfs,10348.15
sealfs,10347.95
sealfs,10346.79
sealfs,10346.74
sealfs,10346.68
sealfs,10346.25
sealfs,10346.23
sealfs,10345.88
sealfs,10345.84
sealfs,10344.46
sealfs,10343.96
sealfs,10343.95
sealfs,10343.19
sealfs,10342.21
sealfs,10342.17
sealfs,10342.05
sealfs,10342.04
sealfs,10341.79
sealfs,10341.41
sealfs,10341.4
sealfs,10340.76
sealfs,10340.55
sealfs,10340.46
sealfs,10340.39
sealfs,10340.25
sealfs,10340.12
sealfs,10340.06
sealfs,10339.92
sealfs,10339.78
sealfs,10339.64
sealfs,10339.62
sealfs,10339.13
sealfs,10339.1
sealfs,10338.81
sealfs,10338.41
sealfs,10338.2
sealfs,10338.2
sealfs,10338.19
sealfs,10338.16
sealfs,10338.13
sealfs,10337.6
sealfs,10337.26
sealfs,10337.21
sealfs,10337.02
sealfs,10336.88
sealfs,10336.76
sealfs,10336.71
sealfs,10336.58
sealfs,10336.25
sealfs,10336.12
