TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,154.22
sealfs,153.52
sealfs,150.32
sealfs,150.32
sealfs,150.22
sealfs,150.14
sealfs,149.94
sealfs,148.64
sealfs,148.08
sealfs,147.27
sealfs,147.16
sealfs,147.14
ext4,147.02
sealfs,147.01
sealfs,146.99
sealfs,146.96
sealfs,146.9
sealfs,146.9
sealfs,146.89
sealfs,146.88
sealfs,146.87
sealfs,146.87
sealfs,146.87
sealfs,146.82
ext4,146.81
sealfs,146.8
sealfs,146.8
sealfs,146.78
sealfs,146.74
ext4,146.73
sealfs,146.73
sealfs,146.69
sealfs,146.67
sealfs,146.67
sealfs,146.67
sealfs,146.66
sealfs,146.65
sealfs,146.64
sealfs,146.64
sealfs,146.63
sealfs,146.61
sealfs,146.56
sealfs,146.51
sealfs,146.49
sealfs,146.49
sealfs,146.45
sealfs,146.44
sealfs,146.44
sealfs,146.43
sealfs,146.42
sealfs,146.39
sealfs,146.37
sealfs,146.3
sealfs,146.3
sealfs,146.29
sealfs,146.27
sealfs,146.25
sealfs,146.25
sealfs,146.24
sealfs,146.23
ext4,146.21
sealfs,146.2
sealfs,146.18
sealfs,146.17
sealfs,146.16
sealfs,146.11
sealfs,146.1
sealfs,146.09
sealfs,146.08
sealfs,146.04
ext4,146.03
sealfs,146.03
sealfs,146.02
sealfs,145.99
sealfs,145.96
sealfs,145.95
sealfs,145.91
sealfs,145.91
sealfs,145.9
ext4,145.81
sealfs,145.8
sealfs,145.77
sealfs,145.76
sealfs,145.76
sealfs,145.73
sealfs,145.7
sealfs,145.68
sealfs,145.68
sealfs,145.66
sealfs,145.66
sealfs,145.62
sealfs,145.51
sealfs,145.49
sealfs,145.43
sealfs,145.21
sealfs,145.13
sealfs,145.1
sealfs,145.03
sealfs,144.73
ext4,144.06
sealfs,143.95
ext4,143.75
ext4,143.75
sealfs,143.68
ext4,143.6
sealfs,143.57
sealfs,143.55
ext4,143.44
ext4,143.4
ext4,143.37
sealfs,143.36
