TiAGo Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,7680
ext4_video,7710.72
sealfs_video,7772.16
sealfs_video,7833.6
ext4_video,7884.8
ext4_video,7905.28
ext4_video,7925.76
ext4_video,7936
sealfs_video,7936
sealfs_video,7936
ext4_video,7946.24
sealfs_video,7976.96
sealfs_video,8007.68
sealfs_video,8017.92
sealfs_video,8017.92
sealfs_video,8028.16
sealfs_video,8028.16
sealfs_video,8222.72
sealfs_video,8304.64
sealfs_video,8304.64
sealfs_video,8314.88
sealfs_video,8325.12
sealfs_video,8345.6
sealfs_video,8345.6
sealfs_video,8366.08
sealfs_video,8376.32
sealfs_video,8386.56
sealfs_video,8386.56
sealfs_video,8396.8
sealfs_video,8407.04
ext4_video,8427.52
sealfs_video,8437.76
sealfs_video,8448
ext4_video,8488.96
ext4_video,8488.96
ext4_video,8488.96
sealfs_video,8488.96
ext4_video,8499.2
ext4_video,8499.2
ext4_video,8499.2
ext4_video,8499.2
sealfs_video,8499.2
ext4_video,8509.44
ext4_video,8509.44
ext4_video,8509.44
sealfs_video,8509.44
sealfs_video,8509.44
ext4_video,8519.68
ext4_video,8519.68
sealfs_video,8519.68
ext4_video,8529.92
sealfs_video,8529.92
sealfs_video,8529.92
ext4_video,8540.16
sealfs_video,8540.16
sealfs_video,8540.16
ext4_video,8550.4
ext4_video,8550.4
ext4_video,8550.4
ext4_video,8550.4
ext4_video,8550.4
sealfs_video,8550.4
sealfs_video,8550.4
sealfs_video,8550.4
ext4_video,8560.64
sealfs_video,8560.64
sealfs_video,8560.64
sealfs_video,8560.64
sealfs_video,8560.64
sealfs_video,8560.64
sealfs_video,8570.88
sealfs_video,8570.88
sealfs_video,8570.88
ext4_video,8581.12
sealfs_video,8581.12
sealfs_video,8581.12
sealfs_video,8581.12
sealfs_video,8591.36
sealfs_video,8591.36
sealfs_video,8591.36
ext4_video,8601.6
ext4_video,8601.6
ext4_video,8601.6
sealfs_video,8601.6
sealfs_video,8601.6
sealfs_video,8601.6
sealfs_video,8601.6
sealfs_video,8601.6
sealfs_video,8601.6
ext4_video,8611.84
sealfs_video,8622.08
ext4_video,8632.32
ext4_video,8632.32
ext4_video,8632.32
ext4_video,8632.32
ext4_video,8642.56
ext4_video,8642.56
sealfs_video,8642.56
sealfs_video,8642.56
sealfs_video,8642.56
ext4_video,8663.04
sealfs_video,8663.04
sealfs_video,8673.28
sealfs_video,8673.28
ext4_video,8683.52
sealfs_video,8683.52
sealfs_video,8683.52
sealfs_video,8693.76
sealfs_video,8693.76
sealfs_video,8693.76
sealfs_video,8693.76
sealfs_video,8704
sealfs_video,8714.24
sealfs_video,8714.24
sealfs_video,8714.24
sealfs_video,8724.48
sealfs_video,8724.48
sealfs_video,8724.48
sealfs_video,8734.72
sealfs_video,8775.68
sealfs_video,8796.16
sealfs_video,8816.64
ext4_video,8867.84
sealfs_video,8919.04
sealfs_video,9082.88
sealfs_video,9338.88
ext4_video,9369.6
ext4_video,9605.12
ext4_video,9635.84
ext4_video,9646.08
ext4_video,9676.8
ext4_video,9687.04
ext4_video,9687.04
ext4_video,9697.28
ext4_video,9707.52
ext4_video,9707.52
ext4_video,9707.52
sealfs_video,9707.52
ext4_video,9717.76
sealfs_video,9717.76
sealfs_video,9717.76
ext4_video,9728
sealfs_video,9728
ext4_video,9748.48
sealfs_video,9748.48
ext4_video,9758.72
ext4_video,9779.2
ext4_video,9799.68
sealfs_video,9799.68
sealfs_video,9799.68
sealfs_video,9799.68
ext4_video,9809.92
sealfs_video,9809.92
ext4_video,9820.16
ext4_video,9820.16
sealfs_video,9840.64
ext4_video,9850.88
ext4_video,9850.88
sealfs_video,9850.88
sealfs_video,9850.88
sealfs_video,9850.88
ext4_video,9861.12
ext4_video,9861.12
ext4_video,9861.12
sealfs_video,9861.12
sealfs_video,9861.12
