TiAGo Throughtput on Video Test,Bandwidth (kB/s)
ext4,7680
ext4,7710.72
sealfs,7772.16
sealfs,7833.6
ext4,7884.8
ext4,7905.28
ext4,7925.76
ext4,7936
sealfs,7936
sealfs,7936
ext4,7946.24
sealfs,7976.96
sealfs,8007.68
sealfs,8017.92
sealfs,8017.92
sealfs,8028.16
sealfs,8028.16
sealfs,8222.72
sealfs,8304.64
sealfs,8304.64
sealfs,8314.88
sealfs,8325.12
sealfs,8345.6
sealfs,8345.6
sealfs,8366.08
sealfs,8376.32
sealfs,8386.56
sealfs,8386.56
sealfs,8396.8
sealfs,8407.04
ext4,8427.52
sealfs,8437.76
sealfs,8448
ext4,8488.96
ext4,8488.96
ext4,8488.96
sealfs,8488.96
ext4,8499.2
ext4,8499.2
ext4,8499.2
ext4,8499.2
sealfs,8499.2
ext4,8509.44
ext4,8509.44
ext4,8509.44
sealfs,8509.44
sealfs,8509.44
ext4,8519.68
ext4,8519.68
sealfs,8519.68
ext4,8529.92
sealfs,8529.92
sealfs,8529.92
ext4,8540.16
sealfs,8540.16
sealfs,8540.16
ext4,8550.4
ext4,8550.4
ext4,8550.4
ext4,8550.4
ext4,8550.4
sealfs,8550.4
sealfs,8550.4
sealfs,8550.4
ext4,8560.64
sealfs,8560.64
sealfs,8560.64
sealfs,8560.64
sealfs,8560.64
sealfs,8560.64
sealfs,8570.88
sealfs,8570.88
sealfs,8570.88
ext4,8581.12
sealfs,8581.12
sealfs,8581.12
sealfs,8581.12
sealfs,8591.36
sealfs,8591.36
sealfs,8591.36
ext4,8601.6
ext4,8601.6
ext4,8601.6
sealfs,8601.6
sealfs,8601.6
sealfs,8601.6
sealfs,8601.6
sealfs,8601.6
sealfs,8601.6
ext4,8611.84
sealfs,8622.08
ext4,8632.32
ext4,8632.32
ext4,8632.32
ext4,8632.32
ext4,8642.56
ext4,8642.56
sealfs,8642.56
sealfs,8642.56
sealfs,8642.56
ext4,8663.04
sealfs,8663.04
sealfs,8673.28
sealfs,8673.28
ext4,8683.52
sealfs,8683.52
sealfs,8683.52
sealfs,8693.76
sealfs,8693.76
sealfs,8693.76
sealfs,8693.76
sealfs,8704
sealfs,8714.24
sealfs,8714.24
sealfs,8714.24
sealfs,8724.48
sealfs,8724.48
sealfs,8724.48
sealfs,8734.72
sealfs,8775.68
sealfs,8796.16
sealfs,8816.64
ext4,8867.84
sealfs,8919.04
sealfs,9082.88
